Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Avenging the Maine,11,16,17,22
The Memory of Maceo,17,17,23,23
Siege of Manilla,18,21,24,27
Siege of Santiago,22,23,28,29
The Stars and Stripes Shall Never Trail the Dust,24,28,30,34
Slavery,29,30,35,36
Wave on Thou Flag,31,31,37,37
Seeking Her Boy,32,33,38,39
Memory of Lincoln and the Yankees,34,35,40,41
The Death of Hector,36,38,42,44
A Drunken A. B.,39,47,45,53
Envy,48,48,54,54
A Lecture,49,49,55,55
The Girl and the Birds,50,50,56,56
Summer is Gone,51,51,57,57
The End of Day,52,52,58,58
The Evening,55,55,61,61
Africa's Cry,56,56,62,62
The Stars,57,58,63,64
Nothing to Do,59,59,65,65
The Signs of Death,60,63,66,69
Satan,64,64,70,70
Life's Road,65,65,71,71
Classes,66,66,72,72
Fortune's Wheel,67,67,73,73
Show Your Love,68,68,74,74
Memory of the Old Times,69,70,75,76
"Don't Laugh, Boys",71,71,77,77
My Song,72,72,78,78
Our Picnic,73,73,79,79
Edith,74,74,80,80
Ode to Love,75,75,81,81
Herod's Slaughter of the Babes,76,78,82,84
Ambition,79,79,85,85
A View of Childhood,80,81,86,87
"Reason, Sad World",82,83,88,89
The Wealthy Nigah,84,88,90,94
The Boy's Opportunity,89,89,95,95
"""No Use in Signs""",90,91,96,97
The Memory of Frances Willard,92,93,98,99
I'll Enter the Saloon No More,94,95,100,101
Unker Israel,96,98,102,104
Ode to Conscience,99,99,105,105
Two Spirits,100,100,106,106
The Parting Soldiers,101,101,107,107
My Lonely Homestead,102,103,108,109
An Appeal,104,106,110,112
Why Sneer at th' Errors Our Fathers Made,107,107,113,113
Virtue Alone Can Make Men Great,108,108,114,114
To Her That Weeps,109,109,115,115
Heathen Land,110,110,116,116
Blame Not The Poet,111,111,117,117
To the Memory of W. W. Browne,112,115,118,121
De 'Scursion Dat Yer Rode,116,116,122,122
Why Should I Deplore,117,117,123,123
God Bless the Sailors,118,118,124,124
Gib ter Me a Lock ob yer Hair,119,119,125,125
