Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Good Humor,9,10,11,12
Soul Train,11,12,13,14
Big Shots,13,14,15,16
Junior High Dance,15,16,17,18
Adolescence,17,17,19,19
Facts of Life,18,19,20,21
Home Girl Talks Girlhood,20,21,22,23
To The Lost Daughters of Bronx Science,25,27,27,29
In the Bookstore,28,29,30,31
Home Girl Steps Out,30,31,32,33
Ten Years Later,32,33,34,35
Home Girl Dreams A Dance Partner,34,35,36,37
"""Dance Fever""",39,40,41,42
Young Marrieds,41,42,43,44
Persuasion,43,44,45,46
Exhibitionism,45,46,47,48
Soul Suite,47,49,49,51
Morning Kiss,50,50,52,52
Solace,51,52,53,54
The Inner Life,53,54,55,56
Nightclubbing,55,56,57,58
Wedding Party,57,58,59,60
Slow Jams,61,62,63,64
Used Books,63,64,65,66
"The Effort of Travel: Bronx, New York",65,67,67,69
New York Scenes,68,70,70,72
Livelihood,71,72,73,74
Immigrants,73,74,75,76
Transit,75,76,77,78
Anatomy,77,78,79,80
Genealogy,79,83,81,85
