Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
"""Waters...""",,,17,17
Parlay Cheval Ou,,,18,19
Kiche Manitou,,,20,23
Dream Thief,,,24,27
The Shower of Secret Things,,,28,30
Grisgris Dancer,,,31,32
Black Snake Visitation,,,33,35
Ghede Poem,,,36,40
The Shower of Secret Things: 3,,,41,43
Song of the Andoumboulou: 1,,,47,49
Song of the Andoumboulou: 2,,,50,52
Song of the Andoumboulou: 3,,,53,54
Song of the Andoumboulou: 4,,,55,57
Song of the Andoumboulou: 5,,,58,63
Song of the Andoumboulou: 6,,,64,65
Song of the Andoumboulou: 7,,,66,68
and when the Moon struck,,,71,71
enuma elish,,,72,72
"""Her boat of sun's burnt...""",,,73,73
Poem for Don Cherry,,,74,75
Outer Egypt,,,76,76
New and Old Gospel,,,77,77
Tarot-Teller,,,78,79
"""John Coltrane Arrived with An Egyptian Lady""",,,80,81
The Canals,,,82,83
Ohnedaruth's Day Begun,,,84,88
Memphite Recension,,,89,90
Passing Thru,,,91,93
Capricorn Rising,,,97,98
The Sleeping Rocks,,,99,100
Solomon's Outer Wall,,,101,102
Ghost of A Chance,,,103,104
Winged Abyss,,,105,106
The Phantom Light of All Our Day,,,107,109
Falso Brilhante,,,110,111
Dogon Eclipse,,,112,113
