Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Poem,13,13,46,46
The Weary Blues,23,24,56,57
Jazzonia,25,25,60,60
Negro Dancers,26,26,61,61
The Cat and the Saxophone,27,27,64,64
Young Singer,28,28,65,65
Cabaret,29,29,68,68
To Midnight Nan at Leroy's,30,30,69,69
"To a Little Lover-Lass, Dead",31,31,72,72
Harlem Night Club,32,32,73,73
Nude Young Dancer,33,33,76,76
Young Prostitute,34,34,77,77
To a Black Dancer,35,35,80,80
Song for a Banjo Dance,36,36,81,81
Blues Fantasy,37,38,84,85
Lenox Avenue: Midnight,39,39,90,90
Dream Variations,43,43,98,98
Winter Moon,44,44,99,99
Poème d'Automne,45,45,100,100
Fantasy in Purple,46,46,101,101
March Moon,47,47,102,102
Joy,48,48,103,103
The Negro Speaks of Rivers,50,50,106,106
Cross,52,52,107,107
The Jester,53,53,108,108
The South,54,54,109,109
As I Grew Older,55,56,110,111
Aunt Sue's Stories,57,57,112,112
Poem,58,58,113,113
A Black Pierrot,61,61,116,116
Harlem Night Song,62,62,117,117
Songs to the Dark Virgin,63,63,118,118
Ardella,64,64,119,119
Poem-To the Black Beloved,65,65,120,120
When Sue Wears Red,66,66,121,121
Pierrot,67,68,122,123
Water Front Streets,71,71,126,126
A Farewell,72,72,127,127
Long Trip,73,73,128,128
Port Town,74,74,129,129
Sea Calm,75,75,130,130
Caribbean Sunset,76,76,131,131
Young Sailor,77,77,132,132
Seascape,78,78,133,133
Natcha,79,79,134,134
Sea Charm,80,80,135,135
Death of an Old Seaman,81,81,136,136
Beggar Boy,85,85,140,140
Troubled Woman,86,86,141,141
Suicide's Note,87,87,142,142
Sick Room,88,88,143,143
Soledad,89,89,144,144
To the Dark Mercedes,90,90,145,145
Mexican Market Woman,91,91,146,146
After Many Springs,92,92,147,147
Young Bride,93,93,148,148
The Dream Keeper,94,94,149,149
Poem (To F. S.),95,95,150,150
Our Land,99,99,154,154
Lament for Dark Peoples,100,100,159,159
Afraid,101,101,160,160
Poem-For the Portrait of an African Boy,102,102,161,161
Summer Night,103,103,162,162
Disillusion,104,104,163,163
Danse Africaine,105,105,164,164
The White Ones,106,106,165,165
Mother to Son,107,107,166,166
Poem,108,108,167,167
Epilogue,109,109,168,168
