Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Poem to a Jazz Man,3,,15,15
Liturgy of the Light-Skinned,4,,16,17
Mélange: A Commencement,6,,18,18
Sisters,7,,19,20
Susquehanna: The Projects,9,,21,21
Susan's Hair,10,,22,23
White Boys Who Sing the Blues,12,,24,25
Braiding,14,,26,28
Neighborhood,17,,29,29
Hecate in the City,18,,30,31
Searching for the Zebra Finch,20,,32,33
The Last,22,,34,34
Palace Cleopatra,23,,35,36
Desdemona's Fire,25,,37,38
Yellow Girl,29,,41,43
My Mother as Daedalus,32,,44,45
Flowers for Aurelia,34,,46,47
Asthma,36,,48,49
Water,38,,50,50
The Girl Gymnast,39,,51,52
Message from the Snowbound Girl,41,,53,54
Talking with The Buddha,43,,55,56
The Siren's Sound,45,,57,58
The Watering Stone,47,,59,61
Instruction,50,,62,62
Esu Speaks the Moon,51,,63,63
Odyssea Home,52,,64,65
The Carpenter's Dream,54,,66,67
"At 57, My Father Learns to Grow Things",56,,68,68
The Migrant,57,,69,73
