Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
The Birth of Rhythm and Blues,6.0,,17,21
Officially Lent,9.0,,22,24
In My Father's House,12.0,,25,27
Taking the Curve,13.0,,28,28
In Like Paradise/Out Like the Blues,16.0,,29,31
What You Know,18.0,,32,33
Encounter and Farewell,20.0,,34,35
If I Were Rita Hayworth,21.0,,36,36
The Usual Suspect,23.0,,37,38
Remember Iwo Jima,25.0,,39,40
The Blues of This Day,27.0,,41,42
Wheel of Fortune,29.0,,43,44
Joss Sticks,31.0,,45,46
"San Francisco, Spring 1986",34.0,,47,49
"Christmas, Boston, 1989",35.0,,50,50
Lost Manhattan,36.0,,51,51
Gossip,37.0,,52,52
Baby Hair Shirt,40.0,,53,55
A Question of Weather,41.0,,56,56
Glad All Over,44.0,,57,59
The Perfect Lipstick,46.0,,60,61
Healing Sheath,48.0,,62,63
Sly and the Family Stone Under the Big Tit,51.0,,64,66
5:25 A.M.,53.0,,67,68
Falling Magic,55.0,,69,70
Blumen,58.0,,71,73
Thief's Song,59.0,,74,74
You Just Got the Call,61.0,,75,76
April,63.0,,77,78
Bête Noire,65.0,,79,80
Rhythm and Blues Two,66.0,,81,81
Measure,68.0,,82,83
What the God of Fire Charged Me,69.0,,84,84
New Blues,72.0,,85,87
Halloween Weather (a Suite),,,88,88
First Frost Prayer,,,89,89
Day of the Dead,,,90,91
