Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
gathering rain,1,2,13,14
imani,3,4,15,16
eva/jaki/ivory/imani/eva,5,5,17,17
visions,6,8,18,20
eva/jaki/ivory/imani/eva,9,10,21,22
i know the grandmother one had hands,11,12,23,24
the lesson,13,14,25,26
eclipses of eva,15,17,27,29
cleansing skies,18,23,30,35
conjure blues,27,28,39,40
prayer for jessie,29,33,41,45
"tribute to the men and women who perished in the Imperial Chicken Plant fire in Hamlet, North Carolina",34,37,46,49
the coming of changó,38,42,50,54
ode to lies,43,43,55,55
insult,44,45,56,57
things break down,46,47,58,59
the crucian tracks,48,49,60,61
apartheid,53,54,65,66
auction block,55,56,67,68
aura cleansing,57,58,69,70
skin mirror,59,59,71,71
unraveling,60,61,72,73
this eggó is alive,62,63,74,75
praise song,64,64,76,76
imani,65,65,77,77
harvest song,66,67,78,79
the griot's song,71,71,83,83
tidal surge,72,73,84,85
i cry,74,75,86,87
that boy from georgia is coming through here,76,78,88,90
stolen names,79,79,91,91
for jonathan,80,81,92,93
for gordon,82,83,94,95
for segun,84,84,96,96
for donald and segun,85,85,97,97
a declaration of peace/a time of thankful praise,86,89,98,101
...gone fishing,90,91,102,103
song of alice/ossie/nathaniel/ivory,92,93,104,105
