Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Poem for Nana,1,5,31,35
Poem for the Poet Alexis DeVeaux,6,6,36,36
Current Events,7,8,37,38
Poem about The Head of a Negro,9,9,39,39
The Morning on the Mountains,10,10,40,40
"""The Rationale"" or ""She Drove Me Crazy""",11,12,41,42
Case in Point,13,13,43,43
Poem of Personal Greeting for Fidel,14,16,44,46
Newport Jazz Festival,17,18,47,48
Patricia's Poem,19,19,49,49
"""hey, Baby: You married?""",20,21,50,51
TV Is Easy Next to Life,22,23,52,53
1978,24,25,54,55
An Explanation Always Follows,26,27,56,57
Letter to the Local Police,28,29,58,59
Found Poem,30,30,60,60
Poem about a Night Out: Michael: Goodbye for a While,31,33,61,63
Poem about Police Violence,34,35,64,65
Sketching in the Transcendental,36,36,66,66
A Poem about Intelligence for My Brothers and Sisters,37,38,67,68
verse from a fragmentary marriage,39,39,69,69
1977: Poem for Mrs. Fannie Lou Hamer,40,41,70,71
Poem for South African Women,42,43,72,73
Notes on the Peanut,44,45,74,75
Unemployment Monologue,46,47,76,77
Toward a City that Sings,48,48,78,78
A Song of Sojourner Truth,49,51,79,81
"Alla Tha's All Right, but",52,52,82,82
Nightletters,53,53,83,83
Evidently Looking at the Moon Requires a Clean Place to Stand,54,54,84,84
Free Flight,55,59,85,89
Letter to My Friend the Poet Ntozake Shange,60,60,90,90
Legend of the Holy Night When the Police Finally Held Fire,61,62,91,92
"A Poem About Vieques, Puerto Rico",63,67,93,97
Inaugural Rose,68,69,98,99
En Passant,70,70,100,100
For Li'l Bit,71,72,101,102
Niagara Falls,73,73,103,103
calling it quits,74,74,104,104
Poem toward the Bottom Line,75,75,105,105
Memoranda toward the Spring of Seventy-Nine,76,77,106,107
A Short Note to My Very Critical and Well-Beloved Friends and Comrades,78,78,108,108
Rape Is Not a Poem,79,81,109,111
Memo:,82,82,112,112
What Is This in Reference To? or We Must Get Together Sometime Soon!,83,84,113,114
Poem #2 for Inaugural Rose,85,85,115,115
Poem about My Rights,86,89,116,119
Grand Army Plaza,90,91,120,121
Taking Care,92,94,122,124
"A Right-to-Lifer in Grand Forks, North Dakota",95,95,125,125
From America: A Poem in Process,96,100,126,130
