Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Time as Art in The Eternal City,1,,19,19
A Poet in Venice,2,,20,21
Garden of the Fugitives,4,,22,22
We're Not Going to Malta...,5,,23,23
"Through the Straits of Messina, Singing",6,,24,24
In Defense of Livorno,7,,25,25
Somewhere to Paris,8,,26,26
Torsos at the Louvre after Rlike,9,,27,27
"After Barcelona, In Barcelona",10,,28,28
Directions to The Beach of the Dead,11,,29,30
Winter of the Vocanoes: Guatemala,13,,31,31
Bargaining with a Goddess after Rigoberta Menchú,14,,32,32
"Pirenópolis, Brazil: Under Protest",15,,33,33
Return from El Cerrado,16,,34,35
Silent Family Clips,19,,37,37
Papá's Bridge,20,,38,39
What's Love Got to Do?,22,,40,40
Revisiting Metaphors at South Point,23,,41,41
Translation for Mamá,24,,42,43
Abuela's Voices: A Chronicle,26,,44,48
Returning Shine,31,,49,50
Only Brothers,33,,51,51
Then Someday,34,,52,53
The Perfect City Code,36,,54,55
Empty Crosswords,38,,56,57
What Is Not Mine,40,,58,58
Sending Palms in a Letter,41,,59,59
Three Unendings,42,,60,62
When I was a Little Cuban Boy,47,,65,65
"Looking for Blackbirds, Hartford",48,,66,67
A Little Hartford Music,50,,68,68
How Can You Love New York?,51,,69,69
Letter from Nowhere,52,,70,70
"Listening at Reading Farm, an Elegy",53,,71,71
"No More Than This, Provincetown",54,,72,72
Crossing Boston Harbor,55,,73,73
Mexican Almuerzo in New England,56,,74,74
Chilo's Daughters Sing for Me in Cuba,57,,75,76
Visiting tía Aida,59,,77,78
My Campo Santo,61,,79,79
where it begins-where it ends,62,,80,80
