Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
WORDS ON THE THRESHOLD,19,,23,27
IT WAS A SWEET MELODY,25,,29,33
A DIVERSION,30,,34,41
SONATINA,38,,42,45
TO THE COUNTRY,42,,46,48
THE POET ASKS FOR STELLA,45,,49,50
WINTER,47,,51,57
TO MY SOUL,54,,58,59
GREETING TO THE AMERICAN EAGLE,56,,60,64
