Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
The Poem of One Hundred Tongues,3,,13,13
Trinity,4,,14,14
The Song,5,,15,15
History,6,,16,16
Somewhere Outside El Paso,7,,17,17
Heaven,8,,18,18
Moon Yard,9,,19,20
The Arrival,11,,21,24
Not Today,15,,25,25
Chosen,16,,26,26
The Cardboard Box,17,,27,27
Patience,18,,28,28
Wearing the Reptile Shirt,19,,29,30
Drive,21,,31,32
Honking at the Cemetery,23,,33,33
By Summer,24,,34,34
Finished House,25,,35,37
My City Is Full of Insects,28,,38,39
"The Rio Grande Near Flood Stage, Summer 2006",30,,40,41
What We Love,32,,42,42
The Shortest Poem,33,,43,43
"Roadside Shrine, Las Cruces, New Mexico",34,,44,44
The Long Library,35,,45,45
Walt Whitman's Eyeglasses,39,,49,49
You Shall Serve,40,,50,51
Reading: Late Summer,42,,52,53
The Lizard,44,,54,54
Juárez Bees,45,,55,56
"Bob Dylan in El Paso, 1963",47,,57,58
"Chimayo, New Mexico",49,,59,59
Ears Full of Thorns,50,,60,62
Garapata,53,,63,64
Faith Run,55,,65,66
Photo of Pablo Picasso with His Shirt Off,57,,67,67
Allen Ginsberg's Mother,58,,68,69
Awake,60,,70,71
The Dragonfly of Death,62,,72,73
Soldier with a Book of Poems,64,,74,74
The Drowning,65,,75,76
Skyscraper Clothes,67,,77,78
Hurl,69,,79,79
Fear of Dying,70,,80,80
On Many Readings,71,,81,81
Remastered,72,,82,82
Capricorn,73,,83,84
The Lives of Animals Are More than Multiplication,75,,85,85
"Christmas Snow, Organ Mountains, New Mexico",79,,89,89
The Tarantulas,80,,90,90
Ars Poetica,81,,91,92
I Keep Listening,83,,93,93
Relation,84,,94,94
River,85,,95,95
After Touching the Forehead,86,,96,96
One in Three,87,,97,97
Last Night,88,,98,98
"If by Chance, the Child Prodigy",89,,99,101
Enduring Imagination,92,,102,102
The Gift,93,,103,104
The Fold,95,,105,105
Fathers and Sons,96,,106,106
What Do You See?,97,,107,108
The Word,99,,109,109
Fragment,100,,110,110
"The Stone Ring, Las Truchas, New Mexico",101,,111,112
And by the Eagles that Peck at Me,103,,113,113
