Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Aching Knees in Palm Springs,5,,11,12
Contemporary American Hunger,7,,13,14
Days of My Grandfather,9,,15,16
Tiny Stories Told by Gardeners,11,,17,17
The Day Before Fall on Palo Verde Drive,12,,18,19
Jail for Begging,14,,20,20
Watering the Plants in the Fall,15,,21,23
"Mrs. Flores' Oranges, 1981",18,,24,24
Love Simple,19,,25,26
Tips from the Oedipal,21,,27,27
Ode to the Sandwich,22,,28,30
La Cucaracha,25,,31,31
Twenty-five Cent Stories,26,,32,32
Mosaic,27,,33,33
These Hands,28,,34,35
No Matter How Bad,30,,36,37
CA Redemption,32,,38,40
