Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
January,3,,15,15
Self-Portrait in Horsehair Wig,4,,16,16
The Kingdom,5,,17,17
The Report on Horses,6,,18,18
The Report on Horses II,7,,19,19
Goleta,8,,20,20
Twelve in Yellow-Weed at the Edge,9,,21,21
Toby,13,,25,25
Nepenthe,14,,26,26
Little Fox in Ghost-Weed,15,,27,27
Texarkana,16,,28,28
Traveling Gospel,17,,29,29
Self-Portrait in Froehlichia,18,,30,30
Microscopic Winter,19,,31,31
Microscopic Winter II,20,,32,32
Toby II,21,,33,33
Transfixed,25,,37,37
Shoot,26,,38,38
Shoot II,27,,39,39
You Will Be Like Your Dreams Tonight,28,,40,40
Door to Heaven,29,,41,41
Secondhand Gun,30,,42,42
Joe the Lion,31,,43,43
"Through the Night, Softly",32,,44,44
Door to Heaven II,33,,45,45
"January 5, 1973",37,,49,49
"Sparks, Nevada",38,,50,50
"Prelude to 220, or 110",39,,51,51
"Through the Night, Softly II",40,,52,52
You Will Be Like Your Dreams Tonight II,41,,53,53
Joe the Lion II,42,,54,54
Five-Day Locker,43,,55,55
Transfixed II,44,,56,56
Capitola,45,,57,57
F-Space,46,,58,58
