Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Stars from the Abyss,5,7,7,9
The Dawn,8,15,10,17
The White Book (Fragile),16,25,18,27
Rose Garland,26,36,28,38
Morning Songs,37,63,39,65
The Empty Chalices,64,78,66,80
The Rosary of Eros,79,87,81,89
