Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Invocation,,,11,12
For Sale,,,13,13
Sweat,,,14,16
Zanahoria Girl (A.K.A La Spazz),,,17,18
"La pelona blues, bald woman, hairless, Frida Kahlo's idea of death, unfeminine, bald bald bald bald",,,19,19
Daughter,,,20,21
Cars that Go Boom,,,22,24
Always Born,,,25,26
Cuban Deluxe,,,27,27
Cumbia de salvación,,,28,29
Wheel of Misfortune,,,30,32
Va-hee-na,,,33,35
Tearer,,,36,37
"La sibila, la cigua, y la poetisa",,,38,40
Gold Rush,,,41,42
Santa Rita's Chicken Special,,,43,43
Soledad,,,44,44
Spangliku,,,45,45
Agradecimientos,,,47,47
