Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Approaching Storm,11,11,13,13
Brújula,12,13,14,15
Bitterness,14,14,16,16
"Nests, Nearing Key Largo",15,15,17,17
Abacus,16,17,18,19
"Metrozoo, Miami",18,20,20,22
Odds,21,21,23,23
Bulletin Board,22,22,24,24
Progress,23,23,25,25
For the Cuban Dead,24,25,26,27
Famine,26,27,28,29
Titian's Danae,28,29,30,31
Four,33,33,35,35
Seven,34,34,36,36
"Immigrant Parable: Hong Kong Orchid Tree, Arguments",35,36,37,38
"Dualism Parable: Palm Tree, Arguments",37,38,39,40
"Cellophane, Marlboro Lights",39,39,41,41
Conjuring Bear,40,41,42,43
Quilt Complex,42,43,44,45
Samurai,44,44,46,46
Swingline,45,46,47,48
Winter Landscape with a Bird Trap,47,48,49,50
Flight to Nashville,49,50,51,52
Flying over the Bahamas,53,54,55,56
Flight to L.A.,55,56,57,58
Hunters in the Snow,57,58,59,60
"Ibises, Miami",59,59,61,61
The Rice Bird,60,61,62,63
"Seven Mile Bridge, Florida Keys",62,62,64,64
Rubens: Dance of the Villagers,63,64,65,66
"Offshore Island, Florida Keys",65,65,67,67
"The Good Earth, the Good Stars",66,67,68,69
Sea Forms,68,69,70,71
"Bogotá, Barrio Norte",70,70,72,72
A Student Laments Knowing Too Much Music Has Ruined His Love of What's on the Radio,71,71,73,73
Imagining Snow,72,74,74,76
Walking Past a New Five-Story Parking Garage,77,77,79,79
Openings,78,79,80,81
Parable Hunter,80,82,82,84
Salt,83,84,85,86
Polysemia and Arithmetic while Walking the Dog,85,87,87,89
American Casino,88,90,90,92
"Ryman Auditorium, Nashville",91,92,93,94
"Fire Sermon, Matacumbe Key",93,93,95,95
Greek Fire,94,95,96,97
Beaufort Scale,96,97,98,99
