Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
The Heart Sharpens Its Machete,,,15,16
I Send Prayers Out,,,17,20
Thank the River for Another Day,,,21,22
Spring Arrives,,,23,24
Two Plum Trees,,,25,27
The Bosque Ignores Our Religious Timetables,,,28,29
A Green Honesty in Every Leaf,,,30,30
ChicaIndio,,,31,31
Sing and Dance Around You,,,32,33
Pagan Poets,,,34,35
Sunlight and Shadow,,,36,38
Plans,,,39,40
This Day,,,41,41
Shattered Trust,,,42,42
Reach Back to that Day,,,43,43
A Poet's Love,,,44,45
Ancestors Run Next to Me,,,46,47
Sentries at a Gate,,,48,49
Petals,,,50,50
Continue,,,51,51
Mix My Breath in Yours,,,52,52
Beyond My Catch,,,53,54
Running,,,55,57
Blacksmith's Hammer,,,58,58
All I Ask for these Days,,,59,60
Ceremony,,,61,61
I Have No Shadow,,,62,63
A Blue Heron Feather,,,64,66
Eight Feet Below the Levee,,,67,70
The Last Leg,,,71,73
I Have No Answers,,,74,76
I Love My Life,,,77,78
The Gift Collector,,,79,82
What is Broken is What God Blesses,,,83,85
