Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Calendar,16,16,,
Action-Packed Sonnet,17,17,,
How You Appear in an Errand,18,18,,
Some Time Ago,19,19,,
Death Trap Ahead: A Lecture,20,20,,
Value,21,21,,
Holiday Symphony for the Head,22,22,,
Rocket Science,23,23,,
A New Life,24,24,,
On Trying to be Normal,25,25,,
Famed Flights Into the Interior,26,26,,
To Have Conceived,27,27,,
To Recline in a Pine Box,28,28,,
Damned,29,29,,
Tradership,32,32,,
The Witness,33,33,,
Detachments,34,35,,
Underpants,36,36,,
Ode to Badminton,37,37,,
Hope Equivalent to Sailor,38,38,,
Advance,39,39,,
Deliverance,40,40,,
For My King on the Anniversary of His Pretentious Seclusion,41,41,,
Miraculous Food for Once,42,42,,
A Most Feeling Girl,43,43,,
A Little Song for Seasons,44,45,,
Pull Up Chairs for Classics of a Scarlet Nature,46,46,,
Water Lantern,47,47,,
Epithalamion and After,50,50,,
Charm,51,52,,
Performance Test,53,53,,
Caravansary,54,54,,
"And It Was Dear,,55, Yet Dearer for Its Mystery",
Early Theological Writings,56,56,,
Correspondence,57,57,,
Catalogue of Swindles and Perversions,58,58,,
Boon,59,59,,
Speech Turns Orange,60,60,,
Family,61,61,,
The Qualities of Things,62,62,,
The Welcome Benefit,63,63,,
Questions,66,66,,
The Opening Question,67,67,,
Furnished Veda,68,68,,
A Just-So Poem,69,71,,
The Company Pictures at the Armory,72,72,,
"Johnny,,73, A Rich Zemindar",
The Falsehood,74,74,,
The Fantasist's Speech on the Fifteenth of August,75,75,,
