Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Russian Letter,27,27,3,3
Russian Letter (2),28,29,4,5
Russian Letter (3),30,30,6,6
Russian Letter (4),31,32,7,8
Russian Letter (5),33,33,9,9
Russian Letter (6),34,35,10,11
830 Fireplace Road,36,36,12,12
830 Fireplace Road (2),37,38,13,14
Bowery Studio,39,39,15,15
Studio Dream,40,40,16,16
Broadcast from 791 Broadway,41,42,17,18
Three Lullabies for Trakl,43,47,19,23
Self-Portrait with Max Beckmann,48,49,24,25
Second Self-Portrait with Max Beckmann,50,51,26,27
Third Self-Portrait with Max Beckmann,52,52,28,28
Movies as a Form of Reincarnation: Boris Karloff Remembers Being Chinese on More Than One Occasion,55,60,31,36
Genghis Chan: Private Eye XXIX,61,61,37,37
Genghis Chan: Private Eye XXX,62,62,38,38
Peter Lorre Reminisces About Being a Sidekick,63,66,39,42
Boris Karloff in The Mummy Meets Dr. Fu Manchu,67,70,43,46
After My Chronology by Peter Lorre,71,72,47,48
I Was a Poet in the House of Frankenstein,73,81,49,57
Film Adaptations of Five of America's Most Beloved Poems,82,83,58,59
Peter Lorre Records His Favorite Walt Whitman Poem for Posterity,84,84,60,60
Peter Lorre Speaks to the Spirit of Edgar Allan Poe During a Seance,85,87,61,63
Things I Should Tell You Before It's Too Late,91,92,67,68
Didn't They Like You as Much as They Like Themselves?,93,95,69,71
Retired Wrestler,96,96,72,72
Fourth Metabolic Isthmus Sestina,97,98,73,74
Fifth Metabolic Isthmus Sestina,99,100,75,76
Infidel's Romance,101,101,77,77
Written in the Year of the Parrot,102,103,78,79
Domestic Bliss,104,105,80,81
Emission Control,106,108,82,84
The Secret Life of a Statuette,109,110,85,86
One Hundred Views of the Outskirts of Manhattan,111,113,87,89
One Hundred Views of the Port of Baltimore,114,116,90,92
Anonymous Self-Portrait with Wounded Chickadee,117,117,93,93
Autobiography in Pink and Blue,118,118,94,94
Autobiography in Red and Yellow,119,121,95,97
the late tale,125,128,101,104
another late tale,129,133,105,109
storied fibs piled high,134,138,110,114
oval of oxidized potatoes,139,141,115,117
muddy putti under impecunious sun,142,143,118,119
ninety-nine yaupon rosary cycle,144,147,120,123
Borrowed Love Poems,151,155,127,131
