Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Provenance,17,18,3,4
She Hears a Gold Flute,21,21,7,7
Heat Wave,22,23,8,9
Port Sudan,24,25,10,11
Elegy for My Father,26,30,12,16
Reading Rumi As the Phone Rings,31,34,17,20
Muse,37,38,23,24
Choric Meditation,39,40,25,26
Fragments,41,41,27,27
Map,42,43,28,29
House,44,44,30,30
Civil Strife,45,47,31,33
Indigo,48,49,34,35
Mirror of Earth,50,51,36,37
Glyphs,52,52,38,38
Valley,53,53,39,39
Man in a Red Shirt,57,58,43,44
Translated Lives,59,60,45,46
Gold Horizon,61,65,47,51
An Honest Sentence,66,67,52,53
Indian April,68,71,54,57
Taxicabwallah,72,73,58,59
Illiterate Heart,77,82,63,68
Rites of Sense,85,86,71,72
Red Parapet,87,88,73,74
Chennai Afternoon,89,89,75,75
Low Hills of Bavaria,90,91,76,77
Giving Names to Stones,92,93,78,79
Daffodils,94,94,80,80
Roadside Music,95,96,81,82
Water Table,97,97,83,83
Poem in Late October,98,99,84,85
Diary of Dreams,100,102,86,88
"Black River,99,105, Walled Garden",91
