Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Reading Plato,23,24,3,4
Eight Elegies,25,29,5,9
Chroma,30,31,10,11
Bird Notes,32,35,12,15
Bonnard's Garden,36,37,16,17
Botanicals,38,40,18,20
Study,41,42,21,22
Blue Hours,43,46,23,26
Riffing,49,50,29,30
Passagework,51,54,31,34
"Sublet,36,55, Pitt Street",35
Three Amoretti,57,59,37,39
Nearing Rome,60,61,40,41
Ocean Park Notebook,62,64,42,44
The Gecko,65,66,45,46
Portishead Notebook,67,70,47,50
Aubade,73,74,53,54
Phantasmal Cities,75,79,55,59
Montale,80,81,60,61
Wittgenstein,82,85,62,65
Interior with Extension Cord,86,87,66,67
Photographing the Snow,88,89,68,69
At Point Reyes,90,91,70,71
Miró's Notebook,92,96,72,76
