Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
One Bite,17,17,,
Fishbone,21,21,,
Stealing Song,22,22,,
Ooty Lake,23,23,,
Wrap,24,24,,
Table Manners,25,25,,
Peacocks,26,26,,
Aanabhranbdhanmar Means 'Mad About Elephants',27,27,,
Gulabjamoon Jar,28,28,,
The Rolling Saint,29,29,,
Swear Words,30,30,,
Hell Pig,31,31,,
The Purchase,32,32,,
Telling the Bees,33,34,,
Falling Thirds,35,35,,
Suddenly as Anything,39,39,,
In Praise of Colophons,40,40,,
Winter Games,41,41,,
The Woman Who Turned Down a Date with a Cherry Farmer,42,42,,
Fruit Cocktail Tree,43,43,,
In the Potatoes,44,44,,
Confusions,45,45,,
Lewis and Clark Disagree,46,46,,
"Cheese Curds,,47, the First Time",
Why I Am Not Afraid of King Cobras,48,48,,
I Come Back to Green,49,49,,
The Alligator,50,50,,
Crow Joy,51,51,,
The Woman Who Hates Frogs,52,52,,
Nest Shirt,53,53,,
"213,,,466,917-1"
Canticle with Sea Worm,55,55,,
Meditation on Flannel,56,56,,
Making Gyotaku,57,57,,
The Bonsai Master's Daughter Breaks Her Silence,58,58,,
Arachne,59,59,,
Little Houses,60,62,,
Speak,65,65,,
"Cocoa Beach,,66, Off-Season",
Lagoon,67,68,,
Coco Cay,69,69,,
Joseph Sees Me Painting My Thumbs Blue,70,70,,
Good Blood,71,71,,
The Original William,72,72,,
Mr. Mustard's Dance Club: Ladies' Night,73,73,,
Blue Topaz,74,74,,
Small Murders,75,75,,
Betelgeuse,76,76,,
Eating Dust,77,77,,
Mouth Stories,78,79,,
Motorcycle,80,80,,
Late,81,81,,
What I Learned from The Incredible Hulk,82,82,,
Red Ghazal,83,83,,
Origin of the Milky Way,84,84,,
Fabric,85,85,,
Spices,86,87,,
Are You Making Dumb Cake?,88,88,,
"Under Water,,89, Behind Glass",
My Name,91,91,,
