Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Ciné,19,25,3,9
Garden Pool,26,26,10,10
Watermark,27,27,11,11
Riversong,28,29,12,13
From the Book of Exile,30,33,14,17
Valediction,34,36,18,20
Prayer to a Third World Madonna,37,39,21,23
Ode to the Marlboro Man,40,42,24,26
At Ripley's Museum,43,46,27,30
Swoon,47,49,31,33
The Dance of Lizards,50,51,34,35
Filipino American Barbie,52,54,36,38
Rash,55,58,39,42
American Beauty Roses,59,62,43,46
weekend,63,66,47,50
"Christmas Fish,52,67, with Margaritas",51
where the Line Breaks,69,71,53,55
Postcards from an Abbey,72,72,56,56
Para Isabel,73,74,57,58
For Ina,75,75,59,59
To the Angel of History,76,80,60,64
The woman reading my poem,81,83,65,67
Suminagashi,87,87,71,71
Consequence,88,89,72,73
Confession,90,92,74,76
Woman in the Grass,93,94,77,78
Found,95,97,79,81
Fifteen,98,100,82,84
The Other Annunciation,101,104,85,88
Pregnant Stone Virgin,105,107,89,91
Poem for the New Year,108,110,92,94
Persephone at Fifteen,111,113,95,97
Last Known Residence,114,116,98,100
Ransom,117,119,101,103
Blood Sacrifice,120,121,104,105
what the Stones Sang,122,124,106,108
In the Ritual of Calling,125,131,109,115
Sunrise T'ai Chi,132,134,116,118
Petition to be Allowed to Love without Limits,135,137,119,121
City of Poetry,138,142,122,126
