Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Bag of Bones,21,22,3,4
Shoemaker,23,23,5,5
The War Works Hard,24,25,6,7
The Game,26,26,8,8
The Prisoner,27,27,9,9
A Drop of Water,28,28,10,10
Inanna,29,30,11,12
An Urgent Call,31,32,13,14
Non-Military Statements,33,34,17,16
Between Two Wars,35,36,19,18
Tough Rose,37,37,20,19
The Jewel,38,38,21,20
A Voice,39,39,22,21
Travel Agency,40,41,23,23
Santa Claus,42,42,24,24
Buzz,43,43,25,25
Crashed Acts,44,44,26,26
Snowstorm,45,46,27,28
To Any Other Place,47,48,29,30
I Was In A Hurry,49,50,31,32
America,51,57,33,39
Silent Movie,58,58,40,40
Laheeb and the City,59,59,41,41
The Rocking Chair,60,60,42,42
Traces,61,61,43,43
The Foreigner,62,63,44,45
Five Minutes,64,66,46,48
The Cup,69,70,51,52
The Resonance,71,71,53,53
The Artist Child,72,73,54,55
The Departure of Friends,74,74,56,56
A Tombstone,75,75,57,57
The Theory of Absence,76,76,58,58
Nothing Here is Enough,77,77,59,59
What's New?,78,78,60,60
The Pomegranate Seeds,79,79,61,61
With One Look From Him,80,80,62,62
An Orange,81,81,63,63
Behind the Glass,85,86,67,68
The Nun,87,87,69,69
The New Year,88,88,70,70
Transformations of the Child and the Moon,89,89,71,71
The Chaldean's Ruins,90,91,72,73
The Shadow of a Tear,92,92,74,74
Pronouns,93,93,75,75
