Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
The Unknown Quantity,13,13,9,9
Now You Are Still,14,14,10,10
A Secret,15,15,11,11
The Blue Sky,16,16,12,12
My Mother,17,17,13,13
My Father Was a Working Man,18,19,14,15
For Marjorie,20,20,16,16
Letter in Exile,21,23,17,19
Biography,24,24,20,20
These Are also Living,25,25,21,21
Letter from America,26,27,22,23
American History,28,29,24,25
Sunset and Evening Star,30,30,26,26
Without Ceremony,31,31,27,27
The Phoenix,32,32,28,28
Night Piece,33,33,29,29
Monuments,34,34,30,30
In Time of Drought,35,35,31,31
The Other Aspect of Love,36,36,32,32
Where My Love Lies,37,37,33,33
What is a Poet?,38,38,34,34
The Consolation of Ambiguity,39,39,35,35
Anticipation & Contemplation,40,40,36,36
Dark Moment,41,41,37,37
Interlude,42,43,38,39
The Map of Life,44,44,40,40
Needing No Time,45,46,41,42
I. Discovery,49,49,43,45
II. Meeting,50,50,46,46
III. Song,51,51,47,47
IV. Interlude & Reevaluation,52,52,48,48
V. Prayer,53,53,49,49
VI. Rediscovery,54,54,50,50
VII. For My People,55,55,51,51
Again for Marjorie,57,57,53,53
The Dream,58,59,54,55
Morning Song,60,60,56,56
Theseus,61,62,57,58
To Whom It May Concern,63,63,59,59
The Morning is Still Dark,64,64,60,60
My Sisters in the Garden,65,65,61,61
About Socrates,66,68,62,64
"""I Have Something to Tell You...""",69,69,65,65
