Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
BONES,15,15,3,3
DEAR EDITOR,16,17,4,5
AUTUMN IN SPINAGAR,18,20,6,8
ANOTHER DEATH,21,21,9,9
NOTES FOR THE UNABANDONED STRANGER,22,23,10,11
IN MEMORY OF BEGUM AKHTAR,27,28,15,16
INTRODUCING,29,30,17,18
NOTE AUTOBIOGRAPHICAL-1,31,31,19,19
NOTE AUTOBIOGRAPHICAL-2,32,32,20,20
THE EDITOR REVISITED,33,33,21,21
POSTCARD FROM KASHMIR,37,37,25,25
A LOST MEMORY OF DELHI,38,39,26,27
A DREAM OF GLASS BANGLES,40,40,28,28
SNOWMEN,41,41,29,29
THE DACCA GAUZES,42,43,30,31
THE SEASON OF THE PLAINS,44,45,32,33
HOMAGE TO FAIZ AHMED FAIZ,46,49,34,37
SURVIVOR,50,50,38,38
I DREAM IT IS AFTERNOON WHEN I RETURN TO DELHI,51,52,39,40
HOUSES,53,53,41,41
BELL TELEPHONE HOURS,57,60,45,48
LANGUAGE GAMES,61,62,49,50
"AN INTERVIEW WITH RED RIDING HOOD,52,63, NOW NO LONGER LITTLE",51
"THE WOLF'S POSTSCRIPT TO ""LITTLE RED RIDING HOOD""",65,66,53,54
FROM ANOTHER DESERT,69,77,57,65
SNOW ON THE DESERT,78,81,66,69
GHAZAL,83,84,71,72
