Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Drawing for Absolute Beginners,15,16,,
Letter from Contra Costa,17,17,,
Civil,18,18,,
25th & Dolores,19,19,,
"Derivation,,20, or The Unexamined Life",
Fiona Rae,21,21,,
After Franz Kline,22,22,,
Polaroid,23,26,,
Titian's Salome,27,27,,
Ending,28,28,,
Streoscopes,31,31,,
Electronical,32,32,,
Untropical,33,33,,
Mrs. Caldwell Writes to Her Son,34,35,,
Three Generations after Larkin,36,36,,
Décor,37,37,,
Stedelijk,38,39,,
Stealing The Scream,40,40,,
Aneurysm,41,41,,
Water,42,42,,
Labor Day,43,43,,
Verandah,47,48,,
Alaska Airlines,49,49,,
Alaska Variations,50,50,,
Home Savings,51,51,,
A Parking Lot in West Houston,52,53,,
Night Ferry to Naxos 1,54,54,,
Night Ferry to Naxos 2,55,55,,
Flatlanders,56,58,,
"Venice,,59, Unaccompanied",
Hand to Mouth,61,61,,
Kestrel: Etymology,62,62,,
Muscae Volitantes,65,66,,
Doe,67,67,,
St. Benedict's Painted Church,68,69,,
Fort Tryon Park,70,70,,
Käthe Kollwitz,71,71,,
The Scythian Lamb,72,74,,
10 Years Old,75,76,,
103 Korean Martyrs,77,77,,
Flowerbed,78,78,,
Naglfar,79,79,,
