Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
"Geese Flying Over Hamilton,,15, New York",
A Letter to Wallace Stevens,17,19,,
The End of the Reagan Era,20,20,,
Death-News,21,21,,
August Diary,22,25,,
Physicians,29,32,,
World War II,33,34,,
"My Father on the Berengaria,,35, 1925",
The Oriental Rug,36,41,,
"Duck 'n Cover,,42, 1953",
Flat Sky of Summer,43,45,,
Rock 'n Roll,46,46,,
Saigon/New Jersey,47,47,,
Out of School,48,48,,
First Communion,49,49,,
Woodstock,50,50,,
"Last Days Painting (August,,51, 1973)",
Post Vietnam,54,54,,
American Dreaming,55,58,,
"Mandelstam in America,,59, 1930",
"Swallow's Castle,,60, Yerevan",
The Back Yard,63,63,,
A Toast,64,64,,
The Color of Pomegranates,65,65,,
My Son Stares Into a Tulip,66,67,,
Idyll With Flying Things,68,69,,
Desire,70,70,,
The Morning News,71,72,,
In Church,73,77,,
After the Survivors Are Gone,78,78,,
Home,79,79,,
Ocean,80,80,,
