Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Letter to Richard Hugo (1),17,17,,
From the River's Edge,21,21,,
The Necessary Bullet,22,23,,
Seven Days Is Never Enough,24,27,,
Lies Lies Lies,28,28,,
Migratory,29,29,,
Subsurface,30,30,,
With/Out,31,31,,
Several Poems for the Non-Indian in Me,32,33,,
Territorial,34,35,,
Tatogana,36,36,,
"So Far,,37, So Long",
Casualties,38,39,,
"Untitled (""but on a train between Browning..."")",40,40,,
Grandfather Poem,41,41,,
From a Tin Box,43,43,,
Venom,47,47,,
Another Attempt at Rescue,48,49,,
Birthright,50,50,,
The Feed,51,51,,
Winter Again,52,53,,
Forward & Reverse,54,54,,
Crosscurrent,55,55,,
Call It Instinct,56,57,,
Sparrow's Sleep,58,58,,
Borrowing Blue,59,60,,
Intertribal,61,61,,
Can You Feel the Native American in Me,62,62,,
One Year,63,63,,
It Comes Down to This,64,64,,
Letter to Richard Hugo (2),67,68,,
