Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Our Bird Aegis,16,16,2,2
American Flag Dress,17,20,3,6
The Aura of the Blue Flower That Is a Goddess,21,22,7,8
Father Scarmark-World War I Hero-and Democracy,23,26,9,12
The Reptile Decree from Paris,27,30,13,16
January Gifts from the Ground Squirrel Entity,31,32,17,18
The Mask of Four Indistinguishable Thunderstorms,33,35,19,21
Summer Tripe Dreams and Concrete Leaves,36,37,22,23
Eagle Feathers in Colour Photocopy,38,39,24,25
The Bread Factory,40,41,26,27
A Season of Provocations and Other Ethnic Dreams,42,44,28,30
"For Lazy-Boys, and Tribal Homeland Reality, or How We Are Each a Lone Hovercraft", Devoted Pets, Health
Poems for Dreams and Underwater Portals,48,49,34,35
"November 12,36,50, 1951",36
Improvised Sealant for Hissing Wounds,51,51,37,37
"An Act of Purification,38,52, No. 1",38
Four Poems for Immediacy,53,54,39,40
Crestwood School of Social Research,55,57,41,43
Dish Shapes and Remnant Pools,58,59,44,45
In the Tree's Shadow,60,60,46,46
Moon-like Craters on My Legs,61,63,47,49
Laramie's Peripheral Vision,64,67,50,53
