Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
IT Geography,17,18,3,4
Evidence of Red,19,20,5,6
Hashi mi Mali,21,22,7,8
The Unknown Women,23,34,9,20
The Chaos of Angels,37,47,23,33
How My Fever Broke,48,50,34,36
The Red Wars,51,57,37,43
Choctalking on Other Realities,58,71,44,57
A Duck's Tune,75,77,61,63
"A Carbon Isotopic Perspective on Dietary Variation in Late Prehistoric Times: Or,70,78, Friends I have Loved and Ingested",64
The List We Make,85,89,71,75
My Name Is Noble Savage,90,90,76,76
Disney's Pocahontas Longs for Noble Savage,91,91,77,77
Noble Savage Sees A Therapist,92,92,78,78
The Indian Sports Mascot Meets Noble Savage,93,93,79,79
Noble Savage Confronts Indian Mascot,94,94,80,80
Noble Savage Contemplates His Fate,95,95,81,81
Indian Mascot Joins The Village People,96,96,82,82
Indian Mascot Encounters Prejudice (from real Indians),97,97,83,83
American Indians Attempt to Assassinate Indian Mascot,98,98,84,84
What happened to Indian Mascot and Noble Savage-After the Shooting?,99,99,85,85
"The Way We Were-Indian Mascot Laments His Lost Love,87,100, Anyway",86
Ballad of Red Sorrow,102,102,88,88
Still Code Talking,103,103,89,89
The Lie,107,108,93,94
Post-Mortem,109,109,95,95
Bird Woman Returns,110,110,96,96
Horse Dreams,111,111,97,97
Kick Boxing,112,112,98,98
Indians Never Say Good-bye,113,115,99,101
