Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Sleeping In Rain,16,19,4,7
Waking on a Greyhound Going West,20,20,8,8
Outside White Earth,21,21,9,9
Shell Lake,22,22,10,10
White Earth August Again,23,23,11,11
Leaving Smoke's,24,25,12,13
At Once You Recall the Thunder Song,26,27,14,15
Beyond the Refuge,28,28,16,16
When Names Escaped Us,29,29,17,17
The Failure of Certain Charms,30,30,18,18
Entries Into the Utobiographical I,34,52,22,40
The Saxophonist's Meta-Americana Tour,53,55,41,43
Ocrober Naming,56,58,44,46
River People-The Lost Watch,59,63,47,51
Insulin Syringe Blues in the Key of Turtle Mountain,64,66,52,54
The Rumors Around Us,67,67,55,55
A Medicine Song,68,68,56,56
Jazz Tune for a Hiawatha Woman,69,72,57,60
October Minnehaha Avenue,73,73,61,61
Postmodern Rez Edge Inhalation: Paint Thinner Sublime,74,74,62,62
How Soon,75,75,63,63
Gaween-Self Portrait:,80,81,68,69
Letter to the Agency Superintendent:,82,83,70,71
November Becomes the Sky With Suppers for the Dead,84,85,72,73
Untitled Crow Abstract,86,86,74,74
Windows Against the Rain,87,87,75,75
Letter to the School Superintendent:,88,90,76,78
Primitive Epidermal Song,91,93,79,81
Imperial Lord Woosintoon,94,95,82,83
Abstract on Imperialist Cartographics,96,96,84,84
Song for the One Called Enemy,97,98,85,86
Lost Hunter-Under Hidden Constellations,99,99,87,87
Another Academic's Last Hope for Coyote Monologue,100,100,88,88
Simple Four Part Directions for Making Indian Lit,101,104,89,92
Hope Returns a Lost Whistle,105,106,93,94
"If Only John Ashberry Were Gregory Corso,97,107, If Only Gregory Corso Was the Terra Cotta Horse on the Coffee Table With a Magazine Open to the You Can Be An Artist Ad",95
Directions to the Sovereign of Entelechy,110,111,98,99
Ahwosso-Past,116,120,104,108
Song for a Sister Who Won't Let Go,121,121,109,109
Guessing at the Weight of Spirit,122,122,110,110
Profile of a Black River Member,123,123,111,111
Remembering Shadow: In the Art of Not Crying,124,125,112,113
Rez Edged Suicide Muse,126,126,114,114
Oshawanung Manido Equay,127,128,115,116
White Cloud Woman through a Southern Window,129,129,117,117
Sonny's Wake 2000,130,130,118,118
White Cloud Woman at Dawn,131,132,119,120
Dodem Dream Song,133,133,121,121
Recount to a Black River Elder,134,136,122,124
Pipestone: the Best Conversations that never took place,137,137,125,125
Before the Thirsty Dance,138,138,126,126
A Black River Elder Pretends,139,139,127,127
Traveling Among Strangers,140,140,128,128
Zahquod's Land,141,142,129,130
Blue Thunder Boy Healing Song,143,143,131,131
