Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
True Myth,15,15,,
Origin of Poem,16,16,,
Creation,17,17,,
Boyfriend,18,18,,
Sweeping Heaven,19,19,,
Breaking and Entering,20,20,,
The Red River of the North,21,22,,
Oxbow,23,23,,
One Girl,24,24,,
Rich Hour,25,25,,
Human Map,26,27,,
Worlds from Water,28,28,,
Fourth of July Electrical Storm,29,31,,
The Pond,35,35,,
Vegetarian,36,36,,
Fat in America,37,37,,
The Execution of Mr. Carp,38,38,,
That Green Night,39,39,,
Tree That's Gone,40,40,,
Flickers,41,41,,
Sweet Short,42,42,,
Sex in the Desert,43,43,,
Hopi Prophet Chooses a Pop,44,45,,
Wearing Indian Jewelry,46,46,,
Turtle Rattle,47,47,,
Earthswimmer,48,48,,
Phosphorescence,49,49,,
Wheat Ears,50,50,,
Translation,53,53,,
Candy Apple Red,54,54,,
Fear and Comfort,55,55,,
Le Main de Dieu,56,56,,
Short Hand,57,57,,
The Wishing Fish,58,59,,
A Sister for My Father,60,60,,
Dragging the River,61,61,,
Animoosh,62,62,,
The Cure,63,63,,
TV News: Detox Closed,64,65,,
The Widow's Grove,66,66,,
The Quiet Earth,67,67,,
The Drunk's Spirit,68,68,,
Born in November,69,69,,
The Visible Woman,70,70,,
Future Debris,71,71,,
Sense,72,72,,
