Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Blues-ing on the Brown Vibe,11,14,3,6
He Changed the Whirl in My Palm,15,15,7,7
Directional Memory,16,17,8,9
Jenny Holzer Inspiration,18,18,10,10
On Relocation,19,19,11,11
Check One,20,20,12,12
Bringing Hannah Home,21,22,13,14
"March 11,16,23, 1995",15
"Ruthie Rae,16,24, My Kid",16
"Case Study #311,18,25,990",17
Indian Mom,27,27,19,19
Euro-American Womanhood Ceremony,28,28,20,20
Asdz'aan Tó'dichi'níí,29,31,21,23
Ruby Awakens,33,34,25,26
Ruby's Summer Fruit,35,35,27,27
Ruby Roast,36,36,28,28
Ruby in the Sky,37,37,29,29
How Ruby Saves Laughter,38,39,30,31
Disco Danny AKA Ruby's Dance Partner,40,40,32,32
Ruby at Bat,41,41,33,33
Ruby Stew,42,42,34,34
How Art Opens Ruby's Eye,43,43,35,35
Ruby's Bird Cage,44,44,36,36
Ruby Hikes,45,46,37,38
Ruby in Me #1,47,47,39,39
Ruby in Me #2,48,48,40,40
Ruby's Answer,49,50,41,42
Ruby's Welfare,51,52,43,44
Ruby and Child,53,53,45,45
Falling Stars,54,55,46,47
Dry Spell,57,57,49,49
"To Imagine Her Whole,50,58, Once More",50
949 Agua Fria,59,59,51,51
Sending the Letter Never Sent,60,61,52,53
For Miss Celine When She Smokes,62,63,54,55
Night Travel,64,65,56,57
2+2 = Too Much,66,67,58,59
"""49"" in a Mountain Town",68,68,60,60
On Telly Biliizh,69,69,61,61
When Roots Are Exposed,70,71,62,63
"To the Word ""Indian""",72,72,64,64
In the Cycle of the Whirl,75,93,67,85
