Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Speaking Those Names,19,20,3,4
Living History,21,21,5,5
History Again,22,22,6,6
Ice Tricksters and Shadow Stories,23,25,7,9
Don't Send Me Any Surveys,26,27,10,11
On the Way to the Chicago Pow-Wow,28,29,12,13
"Rituals,16,30, Yours- and Mine",14
Where I Was That Day,35,37,19,21
In the Cold Rain Walking,38,41,22,25
Sleeping With McKenzie,42,43,26,27
who takes me places where poems live,44,45,28,29
"Alaskan Mountain Stories,31,46, Transfiguration",30
"learning,32,48, at last",32
This Cocoon,49,51,33,35
Leaving Santa Fe,52,52,36,36
Trailing You,55,56,39,40
Surviving Winter or Old Stories We Tell Ourselves When a Blizzard is Coming,57,58,41,42
Frankie's Reign,59,60,43,44
p.s. write soon,61,62,45,46
Two Haiku,63,63,47,47
Dear Robert,64,66,48,50
"""Native Americans"" vs. ""The Poets""",69,69,53,53
Downwinders,70,71,54,55
American Indian Voices: I Wonder If This Is An Indian Poem,72,73,56,57
Dear Mr. Andy Rooney,74,77,58,61
Road Show,78,79,62,63
Waking to Dreams,80,81,64,65
Rewriting your life,85,87,69,71
Sewing Memories: This Poem I've Wanted to Write,88,95,72,79
"Asphalt,81,96, the Odd Perfume of Summer",80
Day Moon,98,99,82,83
Certificate of Live Birth: Escape From the Third Dimension,100,102,84,86
