Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
On the Round Belly of the Earth,19,19,1,1
What Made this Earth Red?,21,21,3,3
At the Rim,23,23,5,5
Many Horses,25,25,7,7
Deep in the Rock,27,27,9,9
Jiní,29,29,11,11
A Tree Grows near the Road,31,31,13,13
On the Other Side,33,33,15,15
Refugees in Our Own Land,35,35,17,17
Canyon del Muerto,37,37,19,19
Returning,39,39,21,21
Echoes,41,41,23,23
What Came,43,43,25,25
"Niłtsa Bi'áád,26,44, Female Rain",26
"Niltsa Bika',27,45, Male Rain",27
Crossing,47,47,29,29
Blue Clouds,49,49,31,31
Cello,51,51,33,33
Dinétah,53,53,35,35
"I'm with You,37,55, You're with Me",37
Poem about You,57,57,39,39
Over Here,59,59,41,41
Blue Horses Running,61,61,43,43
His Birth,63,63,45,45
