Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Pulling Down the Clouds,21,22,9,10
O'odham Dances,23,25,11,13
Ju: ki Ne'i,26,26,14,14
Na:nko Ma:s Cewagi/Cloud Song,27,27,15,15
Wind,28,31,16,19
Black Clouds,32,32,20,20
The Floods of 1993 and Others,33,37,21,25
Cewagi,38,38,26,26
The Man Who Drowned in the Irrigation Ditch,41,45,29,33
Her Hair Is Her Dress,46,47,34,35
Hair Stolen,48,48,36,36
Don't Be Like the Enemy,49,49,37,37
Long Hair,50,50,38,38
Hairpins,51,51,39,39
Bury Me with a Band,52,52,40,40
Suitcase of Saints,53,55,41,43
Kots,56,57,44,45
Hot Tortillas,58,59,46,47
Waila Music,60,61,48,49
Deer Dance Exhibition,62,63,50,51
Uncle Stories,64,64,52,52
One-Sided Conversation,65,65,53,53
Musical Retrospective,66,68,54,56
"People on Wayward Journeys (Russian Thistle,58,69, Russian Tumbleweed)",57
Ba:ban Ganhu Ge Ci:pia,71,72,59,60
Dog Dreams,73,74,61,62
Morning Air,77,77,65,65
The South Corner,78,79,66,67
Kitchen Sink,80,80,68,68
Lard for Moisturizer,81,82,69,70
Moon Games,85,86,73,74
Like a Picture Postcard,87,90,75,78
Under the Sea,91,92,79,80
Ka:cim Suidagi,93,94,81,82
Ocean Power,95,96,83,84
