Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Confederacy,17,18,,
My Father's Gun,19,19,,
The Other Mother,20,21,,
Adultery at the Ritz,22,23,,
Graffiti,24,24,,
"""Woman Dreaming of Escape""",25,25,,
Laurel,26,27,,
Passage,28,29,,
Love Spell,33,33,,
Terminal,34,35,,
Incantation,36,36,,
Moving House,37,37,,
Salvage,38,39,,
Angling,40,40,,
Stealing,41,42,,
Mobile,43,43,,
"""I Will Leave You in Possession of the Field""",44,44,,
Voir Dire,45,45,,
Solitude,46,47,,
Behind the Door,48,49,,
Eden,53,54,,
Jury Duty,55,56,,
"""New Moon: or I've Lost My Boat You Shan't Have Your Hoop""",57,58,,
Red Lanterns,59,59,,
Hunger,60,60,,
Torch Song,61,62,,
Taxi,63,63,,
Salt Marsh,64,65,,
Falling Through Snow,66,66,,
Diving,67,67,,
Sam's Ghazal,68,68,,
Bombs,69,69,,
Passage II,73,74,,
House Through Leaves,75,75,,
On a Plane Flying Down the Coast of Florida,76,77,,
Between the Acts,78,80,,
12 East Scott Street,81,82,,
My Father's Cross,83,85,,
Two Standards,86,87,,
Oklahoma Home,88,88,,
Confirmation,89,90,,
