Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Looking for a Cure,23,24,3,4
Stories I Tell My Daughter,25,26,5,6
Prayer for the Fourth of July,27,27,7,7
While You Were in San Quentin,28,30,8,10
Strawberries,31,32,11,12
"Sea-Tac Airport,15,33, May 1974",13
Hunger,36,39,16,19
What Part of Me,40,41,20,21
Wildflowers,42,44,22,24
Formula,45,48,25,28
Venom,49,51,29,31
Certain Scars,52,53,32,33
Lost Language,54,55,34,35
Finishing What He Started,56,58,36,38
Sometimes the Open Hand of Desire,61,61,41,41
Refuge,62,62,42,42
Summer Solstice,63,63,43,43
Bodies of Water,64,64,44,44
Shame,65,66,45,46
Commencement Bay,67,67,47,47
The Territory of Love,68,68,48,48
A Walk in the Forest,69,69,49,49
Grief,70,71,50,51
Sorrow As A Woman,72,73,52,53
A Ceremony for Crying,74,77,54,57
Heartwood,78,79,58,59
Vernal Equinox,80,81,60,61
Going On,82,83,62,63
The Night of No Shadows,84,84,64,64
Winter Solstice,85,85,65,65
Three Poems for April,86,88,66,68
Naming the Nameless,91,92,71,72
I Am Not A Witness,93,93,73,73
Without History,94,95,74,75
Indian Cartography,96,97,76,77
Migration,98,98,78,78
January Cusp,99,99,79,79
Correspondence,100,101,80,81
After Colonization,102,102,82,82
ghazal 8/7/94,103,103,83,83
For My Other Grandmother,104,105,84,85
Gone Dancing,106,107,86,87
Riding the Back of the Universe,108,108,88,88
What Is Possible,109,109,89,89
Tehachapi Night,110,101,90,91
Baskets,112,113,92,93
I Dreamt Your True Name,114,115,94,95
Burial Ground,116,117,96,97
Waking,118,119,98,99
