Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Asterisk,15,16,3,
Atlas,18,19,6,
Apparition,20,21,8,
The Skyline of a Missing Tooth,24,26,10,
At Deer Springs,27,27,13,
The Eyes of the Executioner,28,29,14,
The Northern Sun,30,33,16,
Red Light,34,34,20,
She Was Not Invited,35,35,21,
Trickster,36,37,22,
Blankets of Bark,38,39,24,
The Sun Rises and I Think of Your Bruised Larynx,40,41,26,
Bodies Wanting Wood,42,42,28,
Nazbas,43,44,29,
Turtle,45,46,31,
ANWR,47,47,33,
River,48,48,34,
Conquistador,49,50,35,
The Gravitational Pull of a Fishbowl,51,52,37,
The Scent of Burning Hair,53,54,39,
The Hoof in My Soup Glistens,55,55,41,
Translation?,56,56,42,
Halo,57,58,43,
The Noose in My Dream,59,60,45,
Umbilicus,61,62,47,
Offering,63,63,49,
Bullet Wet Earth,64,65,50,
Nahasdzáán,66,66,52,
The Four Directions of a Lie,67,68,53,
Drought,69,73,55,
I Don't Remember,74,74,60,
Chrysalis,75,78,61,
