Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Our Bird Aegis,2,2,16,16
American Flag Dress,3,6,17,20
The Aura of the Blue Flower That Is a Goddess,7,8,21,22
Father Scarmark-World War I Hero-and Democracy,9,12,23,26
The Reptile Decree from Paris,13,16,27,30
January Gifts from the Ground Squirrel Entity,17,18,31,32
The Mask of Four Indistinguishable Thunderstorms,19,21,33,35
Summer Tripe Dreams and Concrete Leaves,22,23,36,37
Eagle Feathers in Colour Photocopy,24,25,38,39
The Bread Factory,26,27,40,41
A Season of Provocations and Other Ethnic Dreams,28,30,42,44
"For Lazy-Boys, Devoted Pets, Health, and Tribal Homeland Reality, or How We Are Each a Lone Hovercraft",31,33,45,47
Poems for Dreams and Underwater Portals,34,35,48,49
"November 12, 1951",36,36,50,50
Improvised Sealant for Hissing Wounds,37,37,51,51
"An Act of Purification, No. 1",38,38,52,52
Four Poems for Immediacy,39,40,53,54
Crestwood School of Social Research,41,43,55,57
Dish Shapes and Remnant Pools,44,45,58,59
In the Tree's Shadow,46,46,60,60
Moon-like Craters on My Legs,47,49,61,63
Laramie's Peripheral Vision,50,53,64,67
