Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
April Morning Prayer to the East,,,9,9
Water as a Sense of Place,,,10,11
Because The Feet of Four Indian Women Might Change the Weather on the East Coast,,,12,13
Some Things I Know About Love that Might be of Some Use,,,14,15
Lecturing in Indian Studies on the Eve of the Millennium,,,16,16
Home Songs,,,17,18
Packrat,,,19,20
Fossil,,,21,21
In a Time of Smoke,,,22,23
Predictions,,,24,25
The Overseers of Complexity,,,26,27
A Basket Defines A Space,,,28,29
Family Story,,,30,32
Sometimes,,,33,34
The Collection of Known Things,,,35,36
Breathing,,,37,38
Crows Watching Out for Me,,,39,40
The Logic Within the Relationship,,,41,43
Smuggling Cherokee,,,44,45
The Dream of Being a Larger Mammal,,,46,47
Downpour,,,48,49
The Needs of Scientific Research,,,50,52
Friday Night Show,,,53,54
Ta Lu Tsi,,,55,57
Approaching Language as a Group Art Project,,,58,59
March 2003,,,60,61
The Roots of This,,,62,65
Location Stories,,,66,67
Giveaway,,,68,69
In the Year of the Wood Monkey,,,70,74
A Prayer for Unselfish Action,,,75,76
Contributing to the Book,,,77,79
