Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Sleeping In Rain,4,7,16,19
Waking on a Greyhound Going West,8,8,20,20
Outside White Earth,9,9,21,21
Shell Lake,10,10,22,22
White Earth August Again,11,11,23,23
Leaving Smoke's,12,13,24,25
At Once You Recall the Thunder Song,14,15,26,27
Beyond the Refuge,16,16,28,28
When Names Escaped Us,17,17,29,29
The Failure of Certain Charms,18,18,30,30
Entries Into the Utobiographical I,22,40,34,52
The Saxophonist's Meta-Americana Tour,41,43,53,55
Ocrober Naming,44,46,56,58
River People-The Lost Watch,47,51,59,63
Insulin Syringe Blues in the Key of Turtle Mountain,52,54,64,66
The Rumors Around Us,55,55,67,67
A Medicine Song,56,56,68,68
Jazz Tune for a Hiawatha Woman,57,60,69,72
October Minnehaha Avenue,61,61,73,73
Postmodern Rez Edge Inhalation: Paint Thinner Sublime,62,62,74,74
How Soon,63,63,75,75
Gaween-Self Portrait:,68,69,80,81
Letter to the Agency Superintendent:,70,71,82,83
November Becomes the Sky With Suppers for the Dead,72,73,84,85
Untitled Crow Abstract,74,74,86,86
Windows Against the Rain,75,75,87,87
Letter to the School Superintendent:,76,78,88,90
Primitive Epidermal Song,79,81,91,93
Imperial Lord Woosintoon,82,83,94,95
Abstract on Imperialist Cartographics,84,84,96,96
Song for the One Called Enemy,85,86,97,98
Lost Hunter-Under Hidden Constellations,87,87,99,99
Another Academic's Last Hope for Coyote Monologue,88,88,100,100
Simple Four Part Directions for Making Indian Lit,89,92,101,104
Hope Returns a Lost Whistle,93,94,105,106
"If Only John Ashberry Were Gregory Corso, If Only Gregory Corso Was the Terra Cotta Horse on the Coffee Table With a Magazine Open to the You Can Be An Artist Ad",95,97,107,109
Directions to the Sovereign of Entelechy,98,99,110,111
Ahwosso-Past,104,108,116,120
Song for a Sister Who Won't Let Go,109,109,121,121
Guessing at the Weight of Spirit,110,110,122,122
Profile of a Black River Member,111,111,123,123
Remembering Shadow: In the Art of Not Crying,112,113,124,125
Rez Edged Suicide Muse,114,114,126,126
Oshawanung Manido Equay,115,116,127,128
White Cloud Woman through a Southern Window,117,117,129,129
Sonny's Wake 2000,118,118,130,130
White Cloud Woman at Dawn,119,120,131,132
Dodem Dream Song,121,121,133,133
Recount to a Black River Elder,122,124,134,136
Pipestone: the Best Conversations that never took place,125,125,137,137
Before the Thirsty Dance,126,126,138,138
A Black River Elder Pretends,127,127,139,139
Traveling Among Strangers,128,128,140,140
Zahquod's Land,129,130,141,142
Blue Thunder Boy Healing Song,131,131,143,143
