Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Pulling Down the Clouds,9,10,21,22
O'odham Dances,11,13,23,25
Ju: ki Ne'i,14,14,26,26
Na:nko Ma:s Cewagi/Cloud Song,15,15,27,27
Wind,16,19,28,31
Black Clouds,20,20,32,32
The Floods of 1993 and Others,21,25,33,37
Cewagi,26,26,38,38
The Man Who Drowned in the Irrigation Ditch,29,33,41,45
Her Hair Is Her Dress,34,35,46,47
Hair Stolen,36,36,48,48
Don't Be Like the Enemy,37,37,49,49
Long Hair,38,38,50,50
Hairpins,39,39,51,51
Bury Me with a Band,40,40,52,52
Suitcase of Saints,41,43,53,55
Kots,44,45,56,57
Hot Tortillas,46,47,58,59
Waila Music,48,49,60,61
Deer Dance Exhibition,50,51,62,63
Uncle Stories,52,52,64,64
One-Sided Conversation,53,53,65,65
Musical Retrospective,54,56,66,68
"People on Wayward Journeys (Russian Thistle, Russian Tumbleweed)",57,58,69,70
Ba:ban Ganhu Ge Ci:pia,59,60,71,72
Dog Dreams,61,62,73,74
Morning Air,65,65,77,77
The South Corner,66,67,78,79
Kitchen Sink,68,68,80,80
Lard for Moisturizer,69,70,81,82
Moon Games,73,74,85,86
Like a Picture Postcard,75,78,87,90
Under the Sea,79,80,91,92
Ka:cim Suidagi,81,82,93,94
Ocean Power,83,84,95,96
