Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Nickel Eclipse,,,19,21
Reservation Architects,,,25,28
The Children Shout at My Door But I Am Too Far Away to Hear,,,29,29
Just Lately,,,30,31
Requiem for the Little People,,,32,33
On the Lack of Needing My Indian Celebrity Sunglasses,,,34,34
The Final Cut,,,37,38
Reservations Required,,,39,39
Waiting for You at the Fountain Outside Lincoln Center,,,40,41
Her Little Red Cabin in the Mountains,,,42,43
Placemaps,,,44,45
War Pony,,,46,47
Vulnerability,,,51,51
My Sister's Back Yard,,,52,53
Mystic Powers (II),,,54,54
The Reservation Knows Your Name as Well as I,,,55,55
Fishing with You,,,56,57
Trading Up,,,61,62
The Gifts of Our Fathers,,,63,65
Stinkpot,,,66,67
Baggage Claim,,,68,69
Skins at Dinner,,,70,70
Four Kitchens in the State,,,71,73
Iroquois Backboard Rebound Song (I),,,77,78
Iroquois Backboard Rebound Song (II),,,79,79
Iroquois Backboard Rebound Song (III),,,80,81
My Hair Was Shorter Then,,,85,85
Fourteen Years Later I Still Want to Pick Up the Phone,,,86,87
Walking a Mile in His Wingtips,,,88,90
Immersion,,,91,91
Spanish Lessons,,,92,97
Song for a Snapping Turtle Rattle,,,101,113
Father and Sun,,,117,118
Transportation,,,119,120
Late August Sunsets,,,121,121
Night Music,,,122,122
A Few Good Jokes,,,123,127
The Annoyance of Evolution,,,131,132
On Meeting My Father in a Bar for the First Time,,,133,134
"Toronto, More or Less, in Fifteen Years",,,135,143
These Nights I Know You Have Struck a Deal with My Mother,,,144,144
Home Work,,,145,145
Sirens,,,149,155
Mystic Powers (I),,,156,157
Wine and Cheese,,,158,159
The Dirt on My Hands,,,160,161
Fall Leaves,,,162,162
Your Garden,,,163,165
Birthday Wishes,,,169,169
Black Leather Jacket,,,170,173
Traditional Blanket,,,174,175
"The Favorite Recipe Card of Many a Reservation Woman or Sunday Brunch, Reservations",,,176,177
This Last Glass,,,181,181
Her Dreams,,,182,183
That Old Falseface,,,184,185
Outgrowing the Zeigler,,,186,187
Dream House,,,188,189
Passing Through Breaking Glass,,,190,191
Old Woman in a New Room,,,192,193
Over Coffee,,,197,197
Flight,,,198,198
Indian Religion at the Turn of the Century,,,199,199
The Old Moccasin Dance Is Sometimes Not Enough,,,200,201
It Goes Something Like This,,,202,203
