Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
IT Geography,3,4,17,18
Evidence of Red,5,6,19,20
Hashi mi Mali,7,8,21,22
The Unknown Women,9,20,23,34
The Chaos of Angels,23,33,37,47
How My Fever Broke,34,36,48,50
The Red Wars,37,43,51,57
Choctalking on Other Realities,44,57,58,71
A Duck's Tune,61,63,75,77
"A Carbon Isotopic Perspective on Dietary Variation in Late Prehistoric Times: Or, Friends I have Loved and Ingested",64,70,78,84
The List We Make,71,75,85,89
My Name Is Noble Savage,76,76,90,90
Disney's Pocahontas Longs for Noble Savage,77,77,91,91
Noble Savage Sees A Therapist,78,78,92,92
The Indian Sports Mascot Meets Noble Savage,79,79,93,93
Noble Savage Confronts Indian Mascot,80,80,94,94
Noble Savage Contemplates His Fate,81,81,95,95
Indian Mascot Joins The Village People,82,82,96,96
Indian Mascot Encounters Prejudice (from real Indians),83,83,97,97
American Indians Attempt to Assassinate Indian Mascot,84,84,98,98
What happened to Indian Mascot and Noble Savage-After the Shooting?,85,85,99,99
"The Way We Were-Indian Mascot Laments His Lost Love, Anyway",86,87,100,101
Ballad of Red Sorrow,88,88,102,102
Still Code Talking,89,89,103,103
The Lie,93,94,107,108
Post-Mortem,95,95,109,109
Bird Woman Returns,96,96,110,110
Horse Dreams,97,97,111,111
Kick Boxing,98,98,112,112
Indians Never Say Good-bye,99,101,113,115
