Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Blues-ing on the Brown Vibe,3,6,11,14
He Changed the Whirl in My Palm,7,7,15,15
Directional Memory,8,9,16,17
Jenny Holzer Inspiration,10,10,18,18
On Relocation,11,11,19,19
Check One,12,12,20,20
Bringing Hannah Home,13,14,21,22
"March 11, 1995",15,16,23,23
"Ruthie Rae, My Kid",16,16,24,24
"Case Study #311,990",17,18,25,26
Indian Mom,19,19,27,27
Euro-American Womanhood Ceremony,20,20,28,28
Asdz'aan Tó'dichi'níí,21,23,29,31
Ruby Awakens,25,26,33,34
Ruby's Summer Fruit,27,27,35,35
Ruby Roast,28,28,36,36
Ruby in the Sky,29,29,37,37
How Ruby Saves Laughter,30,31,38,39
Disco Danny AKA Ruby's Dance Partner,32,32,40,40
Ruby at Bat,33,33,41,41
Ruby Stew,34,34,42,42
How Art Opens Ruby's Eye,35,35,43,43
Ruby's Bird Cage,36,36,44,44
Ruby Hikes,37,38,45,46
Ruby in Me #1,39,39,47,47
Ruby in Me #2,40,40,48,48
Ruby's Answer,41,42,49,50
Ruby's Welfare,43,44,51,52
Ruby and Child,45,45,53,53
Falling Stars,46,47,54,55
Dry Spell,49,49,57,57
"To Imagine Her Whole, Once More",50,50,58,58
949 Agua Fria,51,51,59,59
Sending the Letter Never Sent,52,53,60,61
For Miss Celine When She Smokes,54,55,62,63
Night Travel,56,57,64,65
2+2 = Too Much,58,59,66,67
"""49"" in a Mountain Town",60,60,68,68
On Telly Biliizh,61,61,69,69
When Roots Are Exposed,62,63,70,71
"To the Word ""Indian""",64,64,72,72
In the Cycle of the Whirl,67,85,75,93
