Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Speaking Those Names,3,4,19,20
Living History,5,5,21,21
History Again,6,6,22,22
Ice Tricksters and Shadow Stories,7,9,23,25
Don't Send Me Any Surveys,10,11,26,27
On the Way to the Chicago Pow-Wow,12,13,28,29
"Rituals, Yours- and Mine",14,16,30,32
Where I Was That Day,19,21,35,37
In the Cold Rain Walking,22,25,38,41
Sleeping With McKenzie,26,27,42,43
who takes me places where poems live,28,29,44,45
"Alaskan Mountain Stories, Transfiguration",30,31,46,47
"learning, at last",32,32,48,48
This Cocoon,33,35,49,51
Leaving Santa Fe,36,36,52,52
Trailing You,39,40,55,56
Surviving Winter or Old Stories We Tell Ourselves When a Blizzard is Coming,41,42,57,58
Frankie's Reign,43,44,59,60
p.s. write soon,45,46,61,62
Two Haiku,47,47,63,63
Dear Robert,48,50,64,66
"""Native Americans"" vs. ""The Poets""",53,53,69,69
Downwinders,54,55,70,71
American Indian Voices: I Wonder If This Is An Indian Poem,56,57,72,73
Dear Mr. Andy Rooney,58,61,74,77
Road Show,62,63,78,79
Waking to Dreams,64,65,80,81
Rewriting your life,69,71,85,87
Sewing Memories: This Poem I've Wanted to Write,72,79,88,95
"Asphalt, the Odd Perfume of Summer",80,81,96,97
Day Moon,82,83,98,99
Certificate of Live Birth: Escape From the Third Dimension,84,86,100,102
