Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
On the Round Belly of the Earth,1,1,19,19
What Made this Earth Red?,3,3,21,21
At the Rim,5,5,23,23
Many Horses,7,7,25,25
Deep in the Rock,9,9,27,27
Jiní,11,11,29,29
A Tree Grows near the Road,13,13,31,31
On the Other Side,15,15,33,33
Refugees in Our Own Land,17,17,35,35
Canyon del Muerto,19,19,37,37
Returning,21,21,39,39
Echoes,23,23,41,41
What Came,25,25,43,43
"Niłtsa Bi'áád, Female Rain",26,26,44,44
"Niltsa Bika', Male Rain",27,27,45,45
Crossing,29,29,47,47
Blue Clouds,31,31,49,49
Cello,33,33,51,51
Dinétah,35,35,53,53
"I'm with You, You're with Me",37,37,55,55
Poem about You,39,39,57,57
Over Here,41,41,59,59
Blue Horses Running,43,43,61,61
His Birth,45,45,63,63
