Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Looking for a Cure,3,4,23,24
Stories I Tell My Daughter,5,6,25,26
Prayer for the Fourth of July,7,7,27,27
While You Were in San Quentin,8,10,28,30
Strawberries,11,12,31,32
"Sea-Tac Airport, May 1974",13,15,33,35
Hunger,16,19,36,39
What Part of Me,20,21,40,41
Wildflowers,22,24,42,44
Formula,25,28,45,48
Venom,29,31,49,51
Certain Scars,32,33,52,53
Lost Language,34,35,54,55
Finishing What He Started,36,38,56,58
Sometimes the Open Hand of Desire,41,41,61,61
Refuge,42,42,62,62
Summer Solstice,43,43,63,63
Bodies of Water,44,44,64,64
Shame,45,46,65,66
Commencement Bay,47,47,67,67
The Territory of Love,48,48,68,68
A Walk in the Forest,49,49,69,69
Grief,50,51,70,71
Sorrow As A Woman,52,53,72,73
A Ceremony for Crying,54,57,74,77
Heartwood,58,59,78,79
Vernal Equinox,60,61,80,81
Going On,62,63,82,83
The Night of No Shadows,64,64,84,84
Winter Solstice,65,65,85,85
Three Poems for April,66,68,86,88
Naming the Nameless,71,72,91,92
I Am Not A Witness,73,73,93,93
Without History,74,75,94,95
Indian Cartography,76,77,96,97
Migration,78,78,98,98
January Cusp,79,79,99,99
Correspondence,80,81,100,101
After Colonization,82,82,102,102
ghazal 8/7/94,83,83,103,103
For My Other Grandmother,84,85,104,105
Gone Dancing,86,87,106,107
Riding the Back of the Universe,88,88,108,108
What Is Possible,89,89,109,109
Tehachapi Night,90,91,110,101
Baskets,92,93,112,113
I Dreamt Your True Name,94,95,114,115
Burial Ground,96,97,116,117
Waking,98,99,118,119
