Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Bag of Bones,3,4,21,22
Shoemaker,5,5,23,23
The War Works Hard,6,7,24,25
The Game,8,8,26,26
The Prisoner,9,9,27,27
A Drop of Water,10,10,28,28
Inanna,11,12,29,30
An Urgent Call,13,14,31,32
Non-Military Statements,17,16,33,34
Between Two Wars,19,18,35,36
Tough Rose,20,19,37,37
The Jewel,21,20,38,38
A Voice,22,21,39,39
Travel Agency,23,23,40,41
Santa Claus,24,24,42,42
Buzz,25,25,43,43
Crashed Acts,26,26,44,44
Snowstorm,27,28,45,46
To Any Other Place,29,30,47,48
I Was In A Hurry,31,32,49,50
America,33,39,51,57
Silent Movie,40,40,58,58
Laheeb and the City,41,41,59,59
The Rocking Chair,42,42,60,60
Traces,43,43,61,61
The Foreigner,44,45,62,63
Five Minutes,46,48,64,66
The Cup,51,52,69,70
The Resonance,53,53,71,71
The Artist Child,54,55,72,73
The Departure of Friends,56,56,74,74
A Tombstone,57,57,75,75
The Theory of Absence,58,58,76,76
Nothing Here is Enough,59,59,77,77
What's New?,60,60,78,78
The Pomegranate Seeds,61,61,79,79
With One Look From Him,62,62,80,80
An Orange,63,63,81,81
Behind the Glass,67,68,85,86
The Nun,69,69,87,87
The New Year,70,70,88,88
Transformations of the Child and the Moon,71,71,89,89
The Chaldean's Ruins,72,73,90,91
The Shadow of a Tear,74,74,92,92
Pronouns,75,75,93,93
