Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Ciné,3,9,19,25
Garden Pool,10,10,26,26
Watermark,11,11,27,27
Riversong,12,13,28,29
From the Book of Exile,14,17,30,33
Valediction,18,20,34,36
Prayer to a Third World Madonna,21,23,37,39
Ode to the Marlboro Man,24,26,40,42
At Ripley's Museum,27,30,43,46
Swoon,31,33,47,49
The Dance of Lizards,34,35,50,51
Filipino American Barbie,36,38,52,54
Rash,39,42,55,58
American Beauty Roses,43,46,59,62
weekend,47,50,63,66
"Christmas Fish, with Margaritas",51,52,67,68
where the Line Breaks,53,55,69,71
Postcards from an Abbey,56,56,72,72
Para Isabel,57,58,73,74
For Ina,59,59,75,75
To the Angel of History,60,64,76,80
The woman reading my poem,65,67,81,83
Suminagashi,71,71,87,87
Consequence,72,73,88,89
Confession,74,76,90,92
Woman in the Grass,77,78,93,94
Found,79,81,95,97
Fifteen,82,84,98,100
The Other Annunciation,85,88,101,104
Pregnant Stone Virgin,89,91,105,107
Poem for the New Year,92,94,108,110
Persephone at Fifteen,95,97,111,113
Last Known Residence,98,100,114,116
Ransom,101,103,117,119
Blood Sacrifice,104,105,120,121
what the Stones Sang,106,108,122,124
In the Ritual of Calling,109,115,125,131
Sunrise T'ai Chi,116,118,132,134
Petition to be Allowed to Love without Limits,119,121,135,137
City of Poetry,122,126,138,142
