Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Reading Plato,3,4,23,24
Eight Elegies,5,9,25,29
Chroma,10,11,30,31
Bird Notes,12,15,32,35
Bonnard's Garden,16,17,36,37
Botanicals,18,20,38,40
Study,21,22,41,42
Blue Hours,23,26,43,46
Riffing,29,30,49,50
Passagework,31,34,51,54
"Sublet, Pitt Street",35,36,55,56
Three Amoretti,37,39,57,59
Nearing Rome,40,41,60,61
Ocean Park Notebook,42,44,62,64
The Gecko,45,46,65,66
Portishead Notebook,47,50,67,70
Aubade,53,54,73,74
Phantasmal Cities,55,59,75,79
Montale,60,61,80,81
Wittgenstein,62,65,82,85
Interior with Extension Cord,66,67,86,87
Photographing the Snow,68,69,88,89
At Point Reyes,70,71,90,91
Miró's Notebook,72,76,92,96
