Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
I. Furious Versions,,,17,33
II. The Interrogation,,,37,38
III. This Hour and What Is Dead,,,39,40
"Arise, Go Down",,,41,42
"My Father, in Heaven, Is Reading Out Loud",,,43,44
For a New Citizen of These United States,,,45,46
With Ruins,,,47,49
This Room and Everything in It,,,53,54
The City in Which I Love You,,,55,61
IV. The Waiting,,,65,68
A Story,,,69,69
Goodnight,,,70,72
You Must Sing,,,73,73
Here I Am,,,74,75
A Final Thing,,,76,78
V. The Cleaving,,,81,91
