Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Russian Letter,3,3,27,27
Russian Letter (2),4,5,28,29
Russian Letter (3),6,6,30,30
Russian Letter (4),7,8,31,32
Russian Letter (5),9,9,33,33
Russian Letter (6),10,11,34,35
830 Fireplace Road,12,12,36,36
830 Fireplace Road (2),13,14,37,38
Bowery Studio,15,15,39,39
Studio Dream,16,16,40,40
Broadcast from 791 Broadway,17,18,41,42
Three Lullabies for Trakl,19,23,43,47
Self-Portrait with Max Beckmann,24,25,48,49
Second Self-Portrait with Max Beckmann,26,27,50,51
Third Self-Portrait with Max Beckmann,28,28,52,52
Movies as a Form of Reincarnation: Boris Karloff Remembers Being Chinese on More Than One Occasion,31,36,55,60
Genghis Chan: Private Eye XXIX,37,37,61,61
Genghis Chan: Private Eye XXX,38,38,62,62
Peter Lorre Reminisces About Being a Sidekick,39,42,63,66
Boris Karloff in The Mummy Meets Dr. Fu Manchu,43,46,67,70
After My Chronology by Peter Lorre,47,48,71,72
I Was a Poet in the House of Frankenstein,49,57,73,81
Film Adaptations of Five of America's Most Beloved Poems,58,59,82,83
Peter Lorre Records His Favorite Walt Whitman Poem for Posterity,60,60,84,84
Peter Lorre Speaks to the Spirit of Edgar Allan Poe During a Seance,61,63,85,87
Things I Should Tell You Before It's Too Late,67,68,91,92
Didn't They Like You as Much as They Like Themselves?,69,71,93,95
Retired Wrestler,72,72,96,96
Fourth Metabolic Isthmus Sestina,73,74,97,98
Fifth Metabolic Isthmus Sestina,75,76,99,100
Infidel's Romance,77,77,101,101
Written in the Year of the Parrot,78,79,102,103
Domestic Bliss,80,81,104,105
Emission Control,82,84,106,108
The Secret Life of a Statuette,85,86,109,110
One Hundred Views of the Outskirts of Manhattan,87,89,111,113
One Hundred Views of the Port of Baltimore,90,92,114,116
Anonymous Self-Portrait with Wounded Chickadee,93,93,117,117
Autobiography in Pink and Blue,94,94,118,118
Autobiography in Red and Yellow,95,97,119,121
the late tale,101,104,125,128
another late tale,105,109,129,133
storied fibs piled high,110,114,134,138
oval of oxidized potatoes,115,117,139,141
muddy putti under impecunious sun,118,119,142,143
ninety-nine yaupon rosary cycle,120,123,144,147
Borrowed Love Poems,127,131,151,155
