Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Provenance,3,4,17,18
She Hears a Gold Flute,7,7,21,21
Heat Wave,8,9,22,23
Port Sudan,10,11,24,25
Elegy for My Father,12,16,26,30
Reading Rumi As the Phone Rings,17,20,31,34
Muse,23,24,37,38
Choric Meditation,25,26,39,40
Fragments,27,27,41,41
Map,28,29,42,43
House,30,30,44,44
Civil Strife,31,33,45,47
Indigo,34,35,48,49
Mirror of Earth,36,37,50,51
Glyphs,38,38,52,52
Valley,39,39,53,53
Man in a Red Shirt,43,44,57,58
Translated Lives,45,46,59,60
Gold Horizon,47,51,61,65
An Honest Sentence,52,53,66,67
Indian April,54,57,68,71
Taxicabwallah,58,59,72,73
Illiterate Heart,63,68,77,82
Rites of Sense,71,72,85,86
Red Parapet,73,74,87,88
Chennai Afternoon,75,75,89,89
Low Hills of Bavaria,76,77,90,91
Giving Names to Stones,78,79,92,93
Daffodils,80,80,94,94
Roadside Music,81,82,95,96
Water Table,83,83,97,97
Poem in Late October,84,85,98,99
Diary of Dreams,86,88,100,102
"Black River, Walled Garden",91,99,105,113
