Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
The Unknown Quantity,9,9,13,13
Now You Are Still,10,10,14,14
A Secret,11,11,15,15
The Blue Sky,12,12,16,16
My Mother,13,13,17,17
My Father Was a Working Man,14,15,18,19
For Marjorie,16,16,20,20
Letter in Exile,17,19,21,23
Biography,20,20,24,24
These Are also Living,21,21,25,25
Letter from America,22,23,26,27
American History,24,25,28,29
Sunset and Evening Star,26,26,30,30
Without Ceremony,27,27,31,31
The Phoenix,28,28,32,32
Night Piece,29,29,33,33
Monuments,30,30,34,34
In Time of Drought,31,31,35,35
The Other Aspect of Love,32,32,36,36
Where My Love Lies,33,33,37,37
What is a Poet?,34,34,38,38
The Consolation of Ambiguity,35,35,39,39
Anticipation & Contemplation,36,36,40,40
Dark Moment,37,37,41,41
Interlude,38,39,42,43
The Map of Life,40,40,44,44
Needing No Time,41,42,45,46
I. Discovery,43,45,49,49
II. Meeting,46,46,50,50
III. Song,47,47,51,51
IV. Interlude & Reevaluation,48,48,52,52
V. Prayer,49,49,53,53
VI. Rediscovery,50,50,54,54
VII. For My People,51,51,55,55
Again for Marjorie,53,53,57,57
The Dream,54,55,58,59
Morning Song,56,56,60,60
Theseus,57,58,61,62
To Whom It May Concern,59,59,63,63
The Morning is Still Dark,60,60,64,64
My Sisters in the Garden,61,61,65,65
About Socrates,62,64,66,68
"""I Have Something to Tell You...""",65,65,69,69
