Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
January,15,15,3,
Self-Portrait in Horsehair Wig,16,16,4,
The Kingdom,17,17,5,
The Report on Horses,18,18,6,
The Report on Horses II,19,19,7,
Goleta,20,20,8,
Twelve in Yellow-Weed at the Edge,21,21,9,
Toby,25,25,13,
Nepenthe,26,26,14,
Little Fox in Ghost-Weed,27,27,15,
Texarkana,28,28,16,
Traveling Gospel,29,29,17,
Self-Portrait in Froehlichia,30,30,18,
Microscopic Winter,31,31,19,
Microscopic Winter II,32,32,20,
Toby II,33,33,21,
Transfixed,37,37,25,
Shoot,38,38,26,
Shoot II,39,39,27,
You Will Be Like Your Dreams Tonight,40,40,28,
Door to Heaven,41,41,29,
Secondhand Gun,42,42,30,
Joe the Lion,43,43,31,
"Through the Night,,44, Softly",32
Door to Heaven II,45,45,33,
"January 5,,49, 1973",37
"Sparks,,50, Nevada",38
"Prelude to 220,,51, or 110",39
"Through the Night,,52, Softly II",40
You Will Be Like Your Dreams Tonight II,53,53,41,
Joe the Lion II,54,54,42,
Five-Day Locker,55,55,43,
Transfixed II,56,56,44,
Capitola,57,57,45,
F-Space,58,58,46,
