Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
The Poem of One Hundred Tongues,13,13,3,
Trinity,14,14,4,
The Song,15,15,5,
History,16,16,6,
Somewhere Outside El Paso,17,17,7,
Heaven,18,18,8,
Moon Yard,19,20,9,
The Arrival,21,24,11,
Not Today,25,25,15,
Chosen,26,26,16,
The Cardboard Box,27,27,17,
Patience,28,28,18,
Wearing the Reptile Shirt,29,30,19,
Drive,31,32,21,
Honking at the Cemetery,33,33,23,
By Summer,34,34,24,
Finished House,35,37,25,
My City Is Full of Insects,38,39,28,
"The Rio Grande Near Flood Stage,,40, Summer 2006",30
What We Love,42,42,32,
The Shortest Poem,43,43,33,
"Roadside Shrine,34,, Las Cruces, New Mexico"
The Long Library,45,45,35,
Walt Whitman's Eyeglasses,49,49,39,
You Shall Serve,50,51,40,
Reading: Late Summer,52,53,42,
The Lizard,54,54,44,
Juárez Bees,55,56,45,
"Bob Dylan in El Paso,,57, 1963",47
"Chimayo,,59, New Mexico",49
Ears Full of Thorns,60,62,50,
Garapata,63,64,53,
Faith Run,65,66,55,
Photo of Pablo Picasso with His Shirt Off,67,67,57,
Allen Ginsberg's Mother,68,69,58,
Awake,70,71,60,
The Dragonfly of Death,72,73,62,
Soldier with a Book of Poems,74,74,64,
The Drowning,75,76,65,
Skyscraper Clothes,77,78,67,
Hurl,79,79,69,
Fear of Dying,80,80,70,
On Many Readings,81,81,71,
Remastered,82,82,72,
Capricorn,83,84,73,
The Lives of Animals Are More than Multiplication,85,85,75,
"Christmas Snow,79,, Organ Mountains, New Mexico"
The Tarantulas,90,90,80,
Ars Poetica,91,92,81,
I Keep Listening,93,93,83,
Relation,94,94,84,
River,95,95,85,
After Touching the Forehead,96,96,86,
One in Three,97,97,87,
Last Night,98,98,88,
"If by Chance,,99, the Child Prodigy",89
Enduring Imagination,102,102,92,
The Gift,103,104,93,
The Fold,105,105,95,
Fathers and Sons,106,106,96,
What Do You See?,107,108,97,
The Word,109,109,99,
Fragment,110,110,100,
"The Stone Ring,101,, Las Truchas, New Mexico"
And by the Eagles that Peck at Me,113,113,103,
