Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Approaching Storm,13,13,11,11
Brújula,14,15,12,13
Bitterness,16,16,14,14
"Nests,15,17, Nearing Key Largo",15
Abacus,18,19,16,17
"Metrozoo,20,20, Miami",18
Odds,23,23,21,21
Bulletin Board,24,24,22,22
Progress,25,25,23,23
For the Cuban Dead,26,27,24,25
Famine,28,29,26,27
Titian's Danae,30,31,28,29
Four,35,35,33,33
Seven,36,36,34,34
"Immigrant Parable: Hong Kong Orchid Tree,36,37, Arguments",35
"Dualism Parable: Palm Tree,38,39, Arguments",37
"Cellophane,39,41, Marlboro Lights",39
Conjuring Bear,42,43,40,41
Quilt Complex,44,45,42,43
Samurai,46,46,44,44
Swingline,47,48,45,46
Winter Landscape with a Bird Trap,49,50,47,48
Flight to Nashville,51,52,49,50
Flying over the Bahamas,55,56,53,54
Flight to L.A.,57,58,55,56
Hunters in the Snow,59,60,57,58
"Ibises,59,61, Miami",59
The Rice Bird,62,63,60,61
"Seven Mile Bridge,62,64, Florida Keys",62
Rubens: Dance of the Villagers,65,66,63,64
"Offshore Island,65,67, Florida Keys",65
"The Good Earth,67,68, the Good Stars",66
Sea Forms,70,71,68,69
"Bogotá,70,72, Barrio Norte",70
A Student Laments Knowing Too Much Music Has Ruined His Love of What's on the Radio,73,73,71,71
Imagining Snow,74,76,72,74
Walking Past a New Five-Story Parking Garage,79,79,77,77
Openings,80,81,78,79
Parable Hunter,82,84,80,82
Salt,85,86,83,84
Polysemia and Arithmetic while Walking the Dog,87,89,85,87
American Casino,90,92,88,90
"Ryman Auditorium,92,93, Nashville",91
"Fire Sermon,93,95, Matacumbe Key",93
Greek Fire,96,97,94,95
Beaufort Scale,98,99,96,97
