Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Seven-Sided Poem,25,26,,
Infancy,27,27,,
The Marriage of Heaven and Hell,28,29,,
In the Middle of the Road,30,30,,
Quadrille,31,31,,
The Onset of Love,32,32,,
Ballad of Love Through the Ages,33,34,,
Siesta,35,36,,
Dawn,39,39,,
In the Light of Recent Events,40,40,,
Don't Kill Yourself,41,42,,
Itabiran Confession,45,45,,
Song of the Phantom Girl of Belo Horizonte,46,48,,
Boy Crying in the Night,49,49,,
The Dead in Front Coats,50,50,,
Your Shoulders Hold Up the World,51,51,,
Souvenir of the Ancient World,52,52,,
The Edifice,55,58,,
Motionless Faces,59,61,,
José,62,63,,
The Dirty Hand,64,65,,
Travelling in the Family,66,68,,
Looking for Poetry,71,72,,
The Package,73,76,,
In the Golden Age,77,79,,
Residue,80,82,,
Story of the Dress,83,88,,
The Elephant,89,91,,
Death in a Plane,92,96,,
Family Portrait,97,98,,
Interpretation of December,99,101,,
Morning Street,102,103,,
Indications,104,105,,
Song for That Man of the People Charlie Chaplin,106,113,,
The Disappearance of Luisa Porto,117,121,,
An Ox Looks at Man,125,125,,
Song for a Young Girl's Album,126,127,,
Death of the Houses in Ouro Prêto,128,130,,
The Table,131,139,,
To a Hotel Scheduled for Demolition,143,151,,
Supposed Existence,155,156,,
