Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Sonnets from Eurydice,13,15,,
Barrio Orpheus,16,16,,
Stella,17,17,,
Bustillo Drive Grocery,18,19,,
"Mobile Alabama,,20, 1963",
Partner in Crime,21,21,,
Geology Lesson: Converging Boundary,22,22,,
Poem for the King William Dancers,23,23,,
Sonnet for Rilke in February,24,24,,
Homesick,25,25,,
"Another Eurydice,,26, Oaxaca City",
Love Sonnet: The Eclipse,31,31,,
Amanecer,32,32,,
"The Gift,,33, Uruguay 1970",
The Fire,34,35,,
Hephaestus,36,36,,
Letter from Clinton,37,37,,
Cartographies of Romance,38,40,,
The Thousand and the One,41,42,,
The Spaces Between,43,43,,
"Skamania Lodge,,44, Near the End",
Those Nights,45,46,,
Love Poem to Eurydice from the Writer,47,48,,
Artichoke,49,49,,
Another Body,50,51,,
Echo,55,55,,
The Anointing,56,57,,
Snohomish County Harvest,58,58,,
Avocados,59,60,,
The Trumpets Raised,61,61,,
Northern Migration,62,62,,
West Texas Love Song,63,63,,
Skin and Bones,64,67,,
Monte Albán,68,68,,
Números,69,69,,
Exile,70,70,,
The Quiet Afterwards,71,72,,
Delivery,73,73,,
The Promise,74,74,,
Nóstos,75,75,,
The Ascension,76,77,,
