Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Catrachos,11,11,1,1
Queerodactyl,15,15,5,5
Dia de los Muertos,16,17,6,7
Queerodactyl,18,19,8,9
Atonement in the Key of Padre,20,20,10,10
Our Lady of Suyapa,21,22,11,12
My Great-Grandmother's Egg Thief,23,24,13,14
Queerodactyl,25,25,15,15
Preparations for a Trip Home,26,28,16,18
Midwestern Skulls for the Broken Latino,29,30,19,20
The American Dream,33,34,23,24
Allapattah Branch Library,35,38,25,28
Arthur's Spelling Trubble,39,41,29,31
Marrow,42,43,32,33
Amor Eterno,44,46,34,36
In Service of Silence,47,54,37,44
Marrow,55,55,45,45
When a Person Says Go Back to Your Country,56,56,46,46
Restored Mural for Orlando,59,61,49,51
Queerodactyl,62,62,52,52
Quinceaflera,63,63,53,53
Queerodactyl,64,64,54,54
After the Tempest,65,65,55,55
Finding Logic in a Crushed Head,66,67,56,57
Jurisdiction,68,68,58,58
Those Seventy-Two Bodies Belong to Us,69,70,59,60
Queerodactyl,71,72,61,62
Self-Portrait According to George W. Bush,75,86,65,76
Marero,89,91,79,81
Marrow,92,95,82,85
Payday Loan Phenomenology,96,100,86,90
Queerodactyl,101,101,91,91
