Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Stars from the Abyss,7,9,5,7
The Dawn,10,17,8,15
The White Book (Fragile),18,27,16,25
Rose Garland,28,38,26,36
Morning Songs,39,65,37,63
The Empty Chalices,66,80,64,78
The Rosary of Eros,81,89,79,87
